Year,구분,국제기구,Value
2015,투표권,아시아개발은행,4.333
2015,투표권,아프리카개발은행,0.47
2015,투표권,금융안정위원회,3.50877
2015,투표권,미주개발은행,0.004
2015,투표권,국제부흥개발은행,1.64929
2015,투표권,국제금융공사,1.06731
2015,투표권,국제통화기금,1.36485
2015,투표권,유엔총회,0.51813
2015,투표권,세계무역기구,0.625
2016,투표권,아시아개발은행,4.329
2016,투표권,아프리카개발은행,0.48823
2016,투표권,유엔경제사회이사회,1.85185
2016,투표권,금융안정위원회,3.50877
2016,투표권,미주개발은행,0.004
2016,투표권,국제부흥개발은행,1.65
2016,투표권,국제금융공사,1.06731
2016,투표권,국제통화기금,1.75
2016,투표권,유엔총회,0.51813
2016,투표권,세계무역기구,0.61728
2017,투표권,아시아개발은행,4.329
2017,투표권,아프리카개발은행,0.48823
2017,투표권,유엔경제사회이사회,1.85185
2017,투표권,금융안정위원회,3.50877
2017,투표권,미주개발은행,0.004
2017,투표권,국제부흥개발은행,1.61914
2017,투표권,국제금융공사,1.06731
2017,투표권,국제통화기금,1.73522
2017,투표권,유엔총회,0.51813
2017,투표권,세계무역기구,0.60976
2018,투표권,유엔경제사회이사회,1.85185
2018,투표권,금융안정위원회,3.50877
2018,투표권,국제부흥개발은행,1.58562
2018,투표권,국제금융공사,1.06614
2018,투표권,국제통화기금,1.73487
2018,투표권,유엔총회,0.51813
2018,투표권,세계무역기구,0.60976
2019,투표권,유엔경제사회이사회,1.85185
2019,투표권,금융안정위원회,3.50877
2019,투표권,국제부흥개발은행,1.55654
2019,투표권,국제금융공사,1.05891
2019,투표권,국제통화기금,1.73442
2019,투표권,유엔총회,0.51813
2019,투표권,세계무역기구,0.60976
