Year,data.Cause_of_death,data.Sex,Value
2011,data.Chronic_respiratory_diseases,Male,27.50601407
2011,data.Chronic_respiratory_diseases,Female,17.27948027
2012,data.Cancer,,146.5
2012,data.Cancer,Male,184.5
2012,data.Cancer,Female,108.5
2012,data.Diabetes,,23
2012,data.Diabetes,Male,23.2
2012,data.Diabetes,Female,22.7
2012,data.Cardiovascular_diseases,,0.5
2012,data.Cardiovascular_diseases,Male,0.2
2012,data.Cardiovascular_diseases,Female,0.7
2012,data.Chronic_respiratory_diseases,,24.46701878
2012,data.Chronic_respiratory_diseases,Male,29.47891521
2012,data.Chronic_respiratory_diseases,Female,19.44921284
2013,data.Cancer,,149
2013,data.Cancer,Male,186.2
2013,data.Cancer,Female,111.8
2013,data.Diabetes,,21.5
2013,data.Diabetes,Male,21.3
2013,data.Diabetes,Female,21.8
2013,data.Cardiovascular_diseases,,0.3
2013,data.Cardiovascular_diseases,Male,0.2
2013,data.Cardiovascular_diseases,Female,0.5
2013,data.Chronic_respiratory_diseases,,22.94746955
2013,data.Chronic_respiratory_diseases,Male,27.80532381
2013,data.Chronic_respiratory_diseases,Female,18.08828829
2014,data.Cancer,,150.9
2014,data.Cancer,Male,188.7
2014,data.Cancer,Female,113.2
2014,data.Diabetes,,20.7
2014,data.Diabetes,Male,20.8
2014,data.Diabetes,Female,20.7
2014,data.Cardiovascular_diseases,,0.3
2014,data.Cardiovascular_diseases,Male,0.2
2014,data.Cardiovascular_diseases,Female,0.5
2014,data.Chronic_respiratory_diseases,,23.57418347
2014,data.Chronic_respiratory_diseases,Male,28.91487142
2014,data.Chronic_respiratory_diseases,Female,18.23647964
2015,data.Cancer,,150.8
2015,data.Cancer,Male,187.3
2015,data.Cancer,Female,114.4
2015,data.Diabetes,,20.7
2015,data.Diabetes,Male,20.6
2015,data.Diabetes,Female,20.8
2015,data.Cardiovascular_diseases,,0.3
2015,data.Cardiovascular_diseases,Male,0.2
2015,data.Cardiovascular_diseases,Female,0.4
2015,data.Chronic_respiratory_diseases,,25.0197643
2015,data.Chronic_respiratory_diseases,Male,30.47758062
2015,data.Chronic_respiratory_diseases,Female,19.56957026
2016,data.Cancer,,153
2016,data.Cancer,Male,188.8
2016,data.Cancer,Female,117.2
2016,data.Diabetes,,19.2
2016,data.Diabetes,Male,19.2
2016,data.Diabetes,Female,19.2
2016,data.Cardiovascular_diseases,,0.3
2016,data.Cardiovascular_diseases,Male,0.2
2016,data.Cardiovascular_diseases,Female,0.4
2016,data.Chronic_respiratory_diseases,,24.78627172
2016,data.Chronic_respiratory_diseases,Male,30.12008725
2016,data.Chronic_respiratory_diseases,Female,19.46441056
2017,data.Cancer,,153.9
2017,data.Cancer,Male,191.1
2017,data.Cancer,Female,116.9
2017,data.Diabetes,,17.9
2017,data.Diabetes,Male,17.6
2017,data.Diabetes,Female,18.2
2017,data.Cardiovascular_diseases,,0.4
2017,data.Cardiovascular_diseases,Male,0.3
2017,data.Cardiovascular_diseases,Female,0.5
2017,data.Chronic_respiratory_diseases,,25.26024237
2017,data.Chronic_respiratory_diseases,Male,31.03990687
2017,data.Chronic_respiratory_diseases,Female,19.49797053
2018,data.Cancer,,154.3
2018,data.Cancer,Male,191
2018,data.Cancer,Female,117.7
2018,data.Diabetes,,17.1
2018,data.Diabetes,Male,17.3
2018,data.Diabetes,Female,17
2018,data.Cardiovascular_diseases,,0.3
2018,data.Cardiovascular_diseases,Male,0.2
2018,data.Cardiovascular_diseases,Female,0.4
2018,data.Chronic_respiratory_diseases,,26.71104303
2018,data.Chronic_respiratory_diseases,Male,32.5326642
2018,data.Chronic_respiratory_diseases,Female,20.91138582
2019,data.Cancer,,158.2
2019,data.Cancer,Male,196.3
2019,data.Cancer,Female,120.2
2019,data.Diabetes,,15.8
2019,data.Diabetes,Male,16.1
2019,data.Diabetes,Female,15.5
2019,data.Cardiovascular_diseases,,0.4
2019,data.Cardiovascular_diseases,Male,0.2
2019,data.Cardiovascular_diseases,Female,0.6
2019,data.Chronic_respiratory_diseases,,25.68886224
2019,data.Chronic_respiratory_diseases,Male,32.08985221
2019,data.Chronic_respiratory_diseases,Female,19.31741393
2020,data.Cancer,,160.1
2020,data.Cancer,Male,198.5
2020,data.Cancer,Female,121.9
2020,data.Diabetes,,16.5
2020,data.Diabetes,Male,16.9
2020,data.Diabetes,Female,16.1
2020,data.Cardiovascular_diseases,,0.3
2020,data.Cardiovascular_diseases,Male,0.2
2020,data.Cardiovascular_diseases,Female,0.5
2020,data.Chronic_respiratory_diseases,,26.89425372
2020,data.Chronic_respiratory_diseases,Male,32.94529985
2020,data.Chronic_respiratory_diseases,Female,20.87543308
2021,data.Cancer,,161.1
2021,data.Cancer,Male,199.0
2021,data.Cancer,Female,123.4
2021,data.Diabetes,,17.5
2021,data.Diabetes,Male,18.3
2021,data.Diabetes,Female,16.6
2021,data.Cardiovascular_diseases,,0.3
2021,data.Cardiovascular_diseases,Male,0.2
2021,data.Cardiovascular_diseases,Female,0.5
2021,data.Chronic_respiratory_diseases,,27.21238051
2021,data.Chronic_respiratory_diseases,Male,33.99884842
2021,data.Chronic_respiratory_diseases,Female,20.46678526
