Year,Units,data.Access_point,data.Transportation,data.Time(min),Value
2016,data.Medical_facilities,data.General_hospital,data.Car,15,97.92
2016,data.Medical_facilities,data.General_hospital,data.Car,30,99.99
2016,data.Medical_facilities,data.General_hospital,data.Car,45,100
2016,data.Medical_facilities,data.General_hospital,data.Car,60,100
2016,data.Medical_facilities,data.General_hospital,data.Public_transportation/walking,15,51.03
2016,data.Medical_facilities,data.General_hospital,data.Public_transportation/walking,30,99.53
2016,data.Medical_facilities,data.General_hospital,data.Public_transportation/walking,45,100
2016,data.Medical_facilities,data.General_hospital,data.Public_transportation/walking,60,100
2016,data.Sale_facilities,data.Large_stores,data.Car,15,99.34
2016,data.Sale_facilities,data.Large_stores,data.Car,30,99.99
2016,data.Sale_facilities,data.Large_stores,data.Car,45,100
2016,data.Sale_facilities,data.Large_stores,data.Car,60,100
2016,data.Sale_facilities,data.Large_stores,data.Public_transportation/walking,15,73.9
2016,data.Sale_facilities,data.Large_stores,data.Public_transportation/walking,30,99.95
2016,data.Sale_facilities,data.Large_stores,data.Public_transportation/walking,45,99.99
2016,data.Sale_facilities,data.Large_stores,data.Public_transportation/walking,60,100
2016,data.Sale_facilities,data.Traditional_market,data.Car,15,99.49
2016,data.Sale_facilities,data.Traditional_market,data.Car,30,99.99
2016,data.Sale_facilities,data.Traditional_market,data.Car,45,100
2016,data.Sale_facilities,data.Traditional_market,data.Car,60,100
2016,data.Sale_facilities,data.Traditional_market,data.Public_transportation/walking,15,85.27
2016,data.Sale_facilities,data.Traditional_market,data.Public_transportation/walking,30,99.84
2016,data.Sale_facilities,data.Traditional_market,data.Public_transportation/walking,45,100
2016,data.Sale_facilities,data.Traditional_market,data.Public_transportation/walking,60,100
2016,data.Metropolitan_Transportation_Facilities,data.Train_station,data.Car,15,28.04
2016,data.Metropolitan_Transportation_Facilities,data.Train_station,data.Car,30,91.06
2016,data.Metropolitan_Transportation_Facilities,data.Train_station,data.Car,45,100
2016,data.Metropolitan_Transportation_Facilities,data.Train_station,data.Car,60,100
2016,data.Metropolitan_Transportation_Facilities,data.Train_station,data.Public_transportation/walking,15,7.44
2016,data.Metropolitan_Transportation_Facilities,data.Train_station,data.Public_transportation/walking,30,46.55
2016,data.Metropolitan_Transportation_Facilities,data.Train_station,data.Public_transportation/walking,45,96.53
2016,data.Metropolitan_Transportation_Facilities,data.Train_station,data.Public_transportation/walking,60,100
2016,data.Metropolitan_Transportation_Facilities,data.Bus_terminal,data.Car,15,39.81
2016,data.Metropolitan_Transportation_Facilities,data.Bus_terminal,data.Car,30,97.98
2016,data.Metropolitan_Transportation_Facilities,data.Bus_terminal,data.Car,45,99.99
2016,data.Metropolitan_Transportation_Facilities,data.Bus_terminal,data.Car,60,100
2016,data.Metropolitan_Transportation_Facilities,data.Bus_terminal,data.Public_transportation/walking,15,14.46
2016,data.Metropolitan_Transportation_Facilities,data.Bus_terminal,data.Public_transportation/walking,30,74.57
2016,data.Metropolitan_Transportation_Facilities,data.Bus_terminal,data.Public_transportation/walking,45,99.78
2016,data.Metropolitan_Transportation_Facilities,data.Bus_terminal,data.Public_transportation/walking,60,100
2016,data.Metropolitan_Transportation_Facilities,data.Airport,data.Car,15,1.54
2016,data.Metropolitan_Transportation_Facilities,data.Airport,data.Car,30,12.74
2016,data.Metropolitan_Transportation_Facilities,data.Airport,data.Car,45,39.26
2016,data.Metropolitan_Transportation_Facilities,data.Airport,data.Car,60,69.61
2016,data.Metropolitan_Transportation_Facilities,data.Airport,data.Public_transportation/walking,15,0
2016,data.Metropolitan_Transportation_Facilities,data.Airport,data.Public_transportation/walking,30,1.78
2016,data.Metropolitan_Transportation_Facilities,data.Airport,data.Public_transportation/walking,45,13.16
2016,data.Metropolitan_Transportation_Facilities,data.Airport,data.Public_transportation/walking,60,37.03
