Year,Time serieses,data.Type_of_product,Value
2011,data.preferencial_status,data.Industrial_products,1.06726
2012,data.preferencial_status,data.Industrial_products,1.08191
2013,data.preferencial_status,data.Industrial_products,0.67177
2014,data.preferencial_status,data.Industrial_products,0.5631
2015,data.preferencial_status,data.Industrial_products,0.50801
2016,data.preferencial_status,data.Industrial_products,0.14473
2017,data.preferencial_status,data.Industrial_products,0.16786
2018,data.preferencial_status,data.Industrial_products,0.11002
2000,data.preferencial_status,data.Oil,0.29983
2005,data.preferencial_status,data.Oil,0.16938
2010,data.preferencial_status,data.Oil,0
2011,data.preferencial_status,data.Oil,0
2012,data.preferencial_status,data.Oil,0
2013,data.preferencial_status,data.Oil,0
2014,data.preferencial_status,data.Oil,0
2015,data.preferencial_status,data.Oil,0
2016,data.preferencial_status,data.Oil,0
2017,data.preferencial_status,data.Oil,0
2018,data.preferencial_status,data.Oil,0
2000,data.preferencial_status,data.Textiles,8.39318
2005,data.preferencial_status,data.Textiles,7.11916
2010,data.preferencial_status,data.Textiles,6.91516
2011,data.preferencial_status,data.Textiles,4.48744
2012,data.preferencial_status,data.Textiles,4.46561
2013,data.preferencial_status,data.Textiles,2.1636
2014,data.preferencial_status,data.Textiles,1.90122
2015,data.preferencial_status,data.Textiles,1.64344
2016,data.preferencial_status,data.Textiles,1.27852
2017,data.preferencial_status,data.Textiles,1.14223
2018,data.preferencial_status,data.Textiles,1.09354
2000,data.most-favoured-nation_status,data.Agricultural_products,10.31922
2005,data.most-favoured-nation_status,data.Agricultural_products,11.11541
2010,data.most-favoured-nation_status,data.Agricultural_products,10.80633
2011,data.most-favoured-nation_status,data.Agricultural_products,10.8298
2012,data.most-favoured-nation_status,data.Agricultural_products,10.17327
2013,data.most-favoured-nation_status,data.Agricultural_products,10.71739
2014,data.most-favoured-nation_status,data.Agricultural_products,10.77018
2015,data.most-favoured-nation_status,data.Agricultural_products,10.7474
2016,data.most-favoured-nation_status,data.Agricultural_products,10.76111
2017,data.most-favoured-nation_status,data.Agricultural_products,10.20863
2018,data.most-favoured-nation_status,data.Agricultural_products,10.81967
2000,data.most-favoured-nation_status,data.Total_or_no_breakdown,2.00656
2005,data.most-favoured-nation_status,data.Total_or_no_breakdown,1.87166
2010,data.most-favoured-nation_status,data.Total_or_no_breakdown,1.61574
2011,data.most-favoured-nation_status,data.Total_or_no_breakdown,1.6129
2012,data.most-favoured-nation_status,data.Total_or_no_breakdown,1.61055
2013,data.most-favoured-nation_status,data.Total_or_no_breakdown,1.60474
2014,data.most-favoured-nation_status,data.Total_or_no_breakdown,1.6071
2015,data.most-favoured-nation_status,data.Total_or_no_breakdown,1.7313
2016,data.most-favoured-nation_status,data.Total_or_no_breakdown,1.67528
2017,data.most-favoured-nation_status,data.Total_or_no_breakdown,1.88355
2018,data.most-favoured-nation_status,data.Total_or_no_breakdown,1.82196
2000,data.most-favoured-nation_status,data.Arms,1.11347
2005,data.most-favoured-nation_status,data.Arms,1.03352
2010,data.most-favoured-nation_status,data.Arms,1.03584
2011,data.most-favoured-nation_status,data.Arms,1.0217
2012,data.most-favoured-nation_status,data.Arms,1.07443
2013,data.most-favoured-nation_status,data.Arms,1.07443
2014,data.most-favoured-nation_status,data.Arms,1.07445
2015,data.most-favoured-nation_status,data.Arms,1.07445
2016,data.most-favoured-nation_status,data.Arms,1.0745
2017,data.most-favoured-nation_status,data.Arms,1.02403
2018,data.most-favoured-nation_status,data.Arms,1.07445
2000,data.most-favoured-nation_status,data.Clothing,13.32878
2005,data.most-favoured-nation_status,data.Clothing,12.37509
2010,data.most-favoured-nation_status,data.Clothing,12.62214
2011,data.most-favoured-nation_status,data.Clothing,12.61458
2012,data.most-favoured-nation_status,data.Clothing,12.61698
2013,data.most-favoured-nation_status,data.Clothing,12.60162
2014,data.most-favoured-nation_status,data.Clothing,12.63986
2015,data.most-favoured-nation_status,data.Clothing,12.54273
2016,data.most-favoured-nation_status,data.Clothing,12.54212
2017,data.most-favoured-nation_status,data.Clothing,12.39252
2018,data.most-favoured-nation_status,data.Clothing,12.53384
2000,data.most-favoured-nation_status,data.Industrial_products,1.8984
2005,data.most-favoured-nation_status,data.Industrial_products,1.77099
2010,data.most-favoured-nation_status,data.Industrial_products,1.51117
2011,data.most-favoured-nation_status,data.Industrial_products,1.50841
2012,data.most-favoured-nation_status,data.Industrial_products,1.50683
2013,data.most-favoured-nation_status,data.Industrial_products,1.50045
2014,data.most-favoured-nation_status,data.Industrial_products,1.50251
2015,data.most-favoured-nation_status,data.Industrial_products,1.62873
2016,data.most-favoured-nation_status,data.Industrial_products,1.572
2017,data.most-favoured-nation_status,data.Industrial_products,1.78455
2018,data.most-favoured-nation_status,data.Industrial_products,1.72025
2000,data.most-favoured-nation_status,data.Oil,0.29983
2005,data.most-favoured-nation_status,data.Oil,0.16938
2010,data.most-favoured-nation_status,data.Oil,0
2011,data.most-favoured-nation_status,data.Oil,0
2012,data.most-favoured-nation_status,data.Oil,0
2013,data.most-favoured-nation_status,data.Oil,0
2014,data.most-favoured-nation_status,data.Oil,0
2015,data.most-favoured-nation_status,data.Oil,0
2016,data.most-favoured-nation_status,data.Oil,0
2017,data.most-favoured-nation_status,data.Oil,0
2018,data.most-favoured-nation_status,data.Oil,0
2000,data.most-favoured-nation_status,data.Textiles,8.44352
2005,data.most-favoured-nation_status,data.Textiles,7.14779
2010,data.most-favoured-nation_status,data.Textiles,6.9818
2011,data.most-favoured-nation_status,data.Textiles,6.94097
2012,data.most-favoured-nation_status,data.Textiles,6.91689
2013,data.most-favoured-nation_status,data.Textiles,6.91172
2014,data.most-favoured-nation_status,data.Textiles,6.89907
2015,data.most-favoured-nation_status,data.Textiles,6.94045
2016,data.most-favoured-nation_status,data.Textiles,6.9851
2017,data.most-favoured-nation_status,data.Textiles,6.85683
2018,data.most-favoured-nation_status,data.Textiles,6.98865
