Year,Units,Value
2011,data.G2_Regulatory_Tier_1_capital_to_risk-weighted_assets,11.6016
2012,data.G2_Regulatory_Tier_1_capital_to_risk-weighted_assets,11.5967 
2013,data.G2_Regulatory_Tier_1_capital_to_risk-weighted_assets,11.8530
2014,data.G2_Regulatory_Tier_1_capital_to_risk-weighted_assets,11.7234 
2015,data.G2_Regulatory_Tier_1_capital_to_risk-weighted_assets,11.6941
2016,data.G2_Regulatory_Tier_1_capital_to_risk-weighted_assets,13.1146
2017,data.G2_Regulatory_Tier_1_capital_to_risk-weighted_assets,13.8411 
2018,data.G2_Regulatory_Tier_1_capital_to_risk-weighted_assets,13.9889 
2019,data.G2_Regulatory_Tier_1_capital_to_risk-weighted_assets,13.9779 
2020,data.G2_Regulatory_Tier_1_capital_to_risk-weighted_assets,15.107
2008,data.G6_Liquid_assets_to_short_term_liabilities,101.37096
2009,data.G6_Liquid_assets_to_short_term_liabilities,103.93085
2010,data.G6_Liquid_assets_to_short_term_liabilities,117.46817
2011,data.G6_Liquid_assets_to_short_term_liabilities,109.33702
2012,data.G6_Liquid_assets_to_short_term_liabilities,111.34206
2013,data.G6_Liquid_assets_to_short_term_liabilities,107.87426
2014,data.G6_Liquid_assets_to_short_term_liabilities,121.98002
2015,data.G6_Liquid_assets_to_short_term_liabilities,104.95577
2016,data.G6_Liquid_assets_to_short_term_liabilities,102.59449
2017,data.G6_Liquid_assets_to_short_term_liabilities,101.2468
2018,data.G6_Liquid_assets_to_short_term_liabilities,114.48570
2019,data.G6_Liquid_assets_to_short_term_liabilities,109.96364
2020,data.G6_Liquid_assets_to_short_term_liabilities,102.1849
2008,data.G7_Net_open_position_in_foreign_exchange_to_capital,1.8752
2009,data.G7_Net_open_position_in_foreign_exchange_to_capital,2.911
2010,data.G7_Net_open_position_in_foreign_exchange_to_capital,0.93766
2011,data.G7_Net_open_position_in_foreign_exchange_to_capital,0.93475
2012,data.G7_Net_open_position_in_foreign_exchange_to_capital,0.15454
2013,data.G7_Net_open_position_in_foreign_exchange_to_capital,-0.1504
2014,data.G7_Net_open_position_in_foreign_exchange_to_capital,0.4656
2015,data.G7_Net_open_position_in_foreign_exchange_to_capital,-0.04185
2016,data.G7_Net_open_position_in_foreign_exchange_to_capital,0.01914
2017,data.G7_Net_open_position_in_foreign_exchange_to_capital,-0.9807
2018,data.G7_Net_open_position_in_foreign_exchange_to_capital,0.04103
2019,data.G7_Net_open_position_in_foreign_exchange_to_capital,0.10735
2020,data.G7_Net_open_position_in_foreign_exchange_to_capital,-0.0206
