Year,data.School_environment_indicators,data.School,Value
2001,data.Drinking_water,data.Middle_school,100
2001,data.Drinking_water,data.Elementary_school,100
2001,data.Drinking_water,data.High_school,100
2002,data.Drinking_water,data.Middle_school,100
2002,data.Drinking_water,data.Elementary_school,100
2002,data.Drinking_water,data.High_school,100
2003,data.Drinking_water,data.Middle_school,100
2003,data.Drinking_water,data.Elementary_school,100
2003,data.Drinking_water,data.High_school,100
2004,data.Drinking_water,data.Middle_school,100
2004,data.Drinking_water,data.Elementary_school,100
2004,data.Drinking_water,data.High_school,100
2005,data.Drinking_water,data.Middle_school,100
2005,data.Drinking_water,data.Elementary_school,100
2005,data.Drinking_water,data.High_school,100
2006,data.Drinking_water,data.Middle_school,100
2006,data.Drinking_water,data.Elementary_school,100
2006,data.Drinking_water,data.High_school,100
2007,data.Drinking_water,data.Middle_school,100
2007,data.Drinking_water,data.Elementary_school,100
2007,data.Drinking_water,data.High_school,100
2008,data.Drinking_water,data.Middle_school,100
2008,data.Drinking_water,data.Elementary_school,100
2008,data.Drinking_water,data.High_school,100
2009,data.Drinking_water,data.Middle_school,100
2009,data.Drinking_water,data.Elementary_school,100
2009,data.Drinking_water,data.High_school,100
2010,data.Drinking_water,data.Middle_school,100
2010,data.Drinking_water,data.Elementary_school,100
2010,data.Drinking_water,data.High_school,100
2011,data.Drinking_water,data.Middle_school,100
2011,data.Drinking_water,data.Elementary_school,100
2011,data.Drinking_water,data.High_school,100
2012,data.Drinking_water,data.Middle_school,100
2012,data.Drinking_water,data.Elementary_school,100
2012,data.Drinking_water,data.High_school,100
2013,data.Drinking_water,data.Middle_school,100
2013,data.Drinking_water,data.Elementary_school,100
2013,data.Drinking_water,data.High_school,100
2014,data.Drinking_water,data.Middle_school,100
2014,data.Drinking_water,data.Elementary_school,100
2014,data.Drinking_water,data.High_school,100
2015,data.Drinking_water,data.Middle_school,100
2015,data.Drinking_water,data.Elementary_school,100
2015,data.Drinking_water,data.High_school,100
2016,data.Drinking_water,data.Middle_school,100
2016,data.Drinking_water,data.Elementary_school,100
2016,data.Drinking_water,data.High_school,100
2017,data.Drinking_water,data.Middle_school,100
2017,data.Drinking_water,data.Elementary_school,100
2017,data.Drinking_water,data.High_school,100
2018,data.Drinking_water,data.Middle_school,100
2018,data.Drinking_water,data.Elementary_school,100
2018,data.Drinking_water,data.High_school,100
2019,data.Drinking_water,data.Middle_school,100
2019,data.Drinking_water,data.Elementary_school,100
2019,data.Drinking_water,data.High_school,100
2020,data.Drinking_water,data.Middle_school,100
2020,data.Drinking_water,data.Elementary_school,100
2020,data.Drinking_water,data.High_school,100
2000,data.Electricity,data.Middle_school,100
2000,data.Electricity,data.Elementary_school,100
2000,data.Electricity,data.High_school,100
2001,data.Electricity,data.Middle_school,100
2001,data.Electricity,data.Elementary_school,100
2001,data.Electricity,data.High_school,100
2002,data.Electricity,data.Middle_school,100
2002,data.Electricity,data.Elementary_school,100
2002,data.Electricity,data.High_school,100
2003,data.Electricity,data.Middle_school,100
2003,data.Electricity,data.Elementary_school,100
2003,data.Electricity,data.High_school,100
2004,data.Electricity,data.Middle_school,100
2004,data.Electricity,data.Elementary_school,100
2004,data.Electricity,data.High_school,100
2005,data.Electricity,data.Middle_school,100
2005,data.Electricity,data.Elementary_school,100
2005,data.Electricity,data.High_school,100
2006,data.Electricity,data.Middle_school,100
2006,data.Electricity,data.Elementary_school,100
2006,data.Electricity,data.High_school,100
2007,data.Electricity,data.Middle_school,100
2007,data.Electricity,data.Elementary_school,100
2007,data.Electricity,data.High_school,100
2008,data.Electricity,data.Middle_school,100
2008,data.Electricity,data.Elementary_school,100
2008,data.Electricity,data.High_school,100
2009,data.Electricity,data.Middle_school,100
2009,data.Electricity,data.Elementary_school,100
2009,data.Electricity,data.High_school,100
2010,data.Electricity,data.Middle_school,100
2010,data.Electricity,data.Elementary_school,100
2010,data.Electricity,data.High_school,100
2011,data.Electricity,data.Middle_school,100
2011,data.Electricity,data.Elementary_school,100
2011,data.Electricity,data.High_school,100
2012,data.Electricity,data.Middle_school,100
2012,data.Electricity,data.Elementary_school,100
2012,data.Electricity,data.High_school,100
2013,data.Electricity,data.Middle_school,100
2013,data.Electricity,data.Elementary_school,100
2013,data.Electricity,data.High_school,100
2014,data.Electricity,data.Middle_school,100
2014,data.Electricity,data.Elementary_school,100
2014,data.Electricity,data.High_school,100
2015,data.Electricity,data.Middle_school,100
2015,data.Electricity,data.Elementary_school,100
2015,data.Electricity,data.High_school,100
2016,data.Electricity,data.Middle_school,100
2016,data.Electricity,data.Elementary_school,100
2016,data.Electricity,data.High_school,100
2017,data.Electricity,data.Middle_school,100
2017,data.Electricity,data.Elementary_school,100
2017,data.Electricity,data.High_school,100
2018,data.Electricity,data.Middle_school,100
2018,data.Electricity,data.Elementary_school,100
2018,data.Electricity,data.High_school,100
2019,data.Electricity,data.Middle_school,100
2019,data.Electricity,data.Elementary_school,100
2019,data.Electricity,data.High_school,100
2020,data.Electricity,data.Middle_school,100
2020,data.Electricity,data.Elementary_school,100
2020,data.Electricity,data.High_school,100
2000,data.Hand-washing_facilities,data.Middle_school,100
2000,data.Hand-washing_facilities,data.Elementary_school,100
2000,data.Hand-washing_facilities,data.High_school,100
2001,data.Hand-washing_facilities,data.Middle_school,100
2001,data.Hand-washing_facilities,data.Elementary_school,100
2001,data.Hand-washing_facilities,data.High_school,100
2002,data.Hand-washing_facilities,data.Middle_school,100
2002,data.Hand-washing_facilities,data.Elementary_school,100
2002,data.Hand-washing_facilities,data.High_school,100
2003,data.Hand-washing_facilities,data.Middle_school,100
2003,data.Hand-washing_facilities,data.Elementary_school,100
2003,data.Hand-washing_facilities,data.High_school,100
2004,data.Hand-washing_facilities,data.Middle_school,100
2004,data.Hand-washing_facilities,data.Elementary_school,100
2004,data.Hand-washing_facilities,data.High_school,100
2005,data.Hand-washing_facilities,data.Middle_school,100
2005,data.Hand-washing_facilities,data.Elementary_school,100
2005,data.Hand-washing_facilities,data.High_school,100
2006,data.Hand-washing_facilities,data.Middle_school,100
2006,data.Hand-washing_facilities,data.Elementary_school,100
2006,data.Hand-washing_facilities,data.High_school,100
2007,data.Hand-washing_facilities,data.Middle_school,100
2007,data.Hand-washing_facilities,data.Elementary_school,100
2007,data.Hand-washing_facilities,data.High_school,100
2008,data.Hand-washing_facilities,data.Middle_school,100
2008,data.Hand-washing_facilities,data.Elementary_school,100
2008,data.Hand-washing_facilities,data.High_school,100
2009,data.Hand-washing_facilities,data.Middle_school,100
2009,data.Hand-washing_facilities,data.Elementary_school,100
2009,data.Hand-washing_facilities,data.High_school,100
2010,data.Hand-washing_facilities,data.Middle_school,100
2010,data.Hand-washing_facilities,data.Elementary_school,100
2010,data.Hand-washing_facilities,data.High_school,100
2011,data.Hand-washing_facilities,data.Middle_school,100
2011,data.Hand-washing_facilities,data.Elementary_school,100
2011,data.Hand-washing_facilities,data.High_school,100
2012,data.Hand-washing_facilities,data.Middle_school,100
2012,data.Hand-washing_facilities,data.Elementary_school,100
2012,data.Hand-washing_facilities,data.High_school,100
2013,data.Hand-washing_facilities,data.Middle_school,100
2013,data.Hand-washing_facilities,data.Elementary_school,100
2013,data.Hand-washing_facilities,data.High_school,100
2014,data.Hand-washing_facilities,data.Middle_school,100
2014,data.Hand-washing_facilities,data.Elementary_school,100
2014,data.Hand-washing_facilities,data.High_school,100
2015,data.Hand-washing_facilities,data.Middle_school,100
2015,data.Hand-washing_facilities,data.Elementary_school,100
2015,data.Hand-washing_facilities,data.High_school,100
2016,data.Hand-washing_facilities,data.Middle_school,100
2016,data.Hand-washing_facilities,data.Elementary_school,100
2016,data.Hand-washing_facilities,data.High_school,100
2017,data.Hand-washing_facilities,data.Middle_school,100
2017,data.Hand-washing_facilities,data.Elementary_school,100
2017,data.Hand-washing_facilities,data.High_school,100
2018,data.Hand-washing_facilities,data.Middle_school,100
2018,data.Hand-washing_facilities,data.Elementary_school,100
2018,data.Hand-washing_facilities,data.High_school,100
2019,data.Hand-washing_facilities,data.Middle_school,100
2019,data.Hand-washing_facilities,data.Elementary_school,100
2019,data.Hand-washing_facilities,data.High_school,100
2020,data.Hand-washing_facilities,data.Middle_school,100
2020,data.Hand-washing_facilities,data.Elementary_school,100
2020,data.Hand-washing_facilities,data.High_school,100
2000,data.Internet,data.Middle_school,100
2000,data.Internet,data.Elementary_school,100
2000,data.Internet,data.High_school,100
2001,data.Internet,data.Middle_school,100
2001,data.Internet,data.Elementary_school,100
2001,data.Internet,data.High_school,100
2002,data.Internet,data.Middle_school,100
2002,data.Internet,data.Elementary_school,100
2002,data.Internet,data.High_school,100
2003,data.Internet,data.Middle_school,100
2003,data.Internet,data.Elementary_school,100
2003,data.Internet,data.High_school,100
2004,data.Internet,data.Middle_school,100
2004,data.Internet,data.Elementary_school,100
2004,data.Internet,data.High_school,100
2005,data.Internet,data.Middle_school,100
2005,data.Internet,data.Elementary_school,100
2005,data.Internet,data.High_school,100
2006,data.Internet,data.Middle_school,100
2006,data.Internet,data.Elementary_school,100
2006,data.Internet,data.High_school,100
2007,data.Internet,data.Middle_school,100
2007,data.Internet,data.Elementary_school,100
2007,data.Internet,data.High_school,100
2008,data.Internet,data.Middle_school,100
2008,data.Internet,data.Elementary_school,100
2008,data.Internet,data.High_school,100
2009,data.Internet,data.Middle_school,100
2009,data.Internet,data.Elementary_school,100
2009,data.Internet,data.High_school,100
2010,data.Internet,data.Middle_school,100
2010,data.Internet,data.Elementary_school,100
2010,data.Internet,data.High_school,100
2011,data.Internet,data.Middle_school,100
2011,data.Internet,data.Elementary_school,100
2011,data.Internet,data.High_school,100
2012,data.Internet,data.Middle_school,100
2012,data.Internet,data.Elementary_school,100
2012,data.Internet,data.High_school,100
2013,data.Internet,data.Middle_school,100
2013,data.Internet,data.Elementary_school,100
2013,data.Internet,data.High_school,100
2014,data.Internet,data.Middle_school,100
2014,data.Internet,data.Elementary_school,100
2014,data.Internet,data.High_school,100
2015,data.Internet,data.Middle_school,100
2015,data.Internet,data.Elementary_school,100
2015,data.Internet,data.High_school,100
2016,data.Internet,data.Middle_school,100
2016,data.Internet,data.Elementary_school,100
2016,data.Internet,data.High_school,100
2017,data.Internet,data.Middle_school,100
2017,data.Internet,data.Elementary_school,100
2017,data.Internet,data.High_school,100
2018,data.Internet,data.Middle_school,100
2018,data.Internet,data.Elementary_school,100
2018,data.Internet,data.High_school,100
2019,data.Internet,data.Middle_school,100
2019,data.Internet,data.Elementary_school,100
2019,data.Internet,data.High_school,100
2020,data.Internet,data.Middle_school,100
2020,data.Internet,data.Elementary_school,100
2020,data.Internet,data.High_school,100
2000,data.Single-sex_basic_sanitation_facilities,data.Middle_school,100
2000,data.Single-sex_basic_sanitation_facilities,data.Elementary_school,100
2000,data.Single-sex_basic_sanitation_facilities,data.High_school,100
2001,data.Single-sex_basic_sanitation_facilities,data.Middle_school,100
2001,data.Single-sex_basic_sanitation_facilities,data.Elementary_school,100
2001,data.Single-sex_basic_sanitation_facilities,data.High_school,100
2002,data.Single-sex_basic_sanitation_facilities,data.Middle_school,100
2002,data.Single-sex_basic_sanitation_facilities,data.Elementary_school,100
2002,data.Single-sex_basic_sanitation_facilities,data.High_school,100
2003,data.Single-sex_basic_sanitation_facilities,data.Middle_school,100
2003,data.Single-sex_basic_sanitation_facilities,data.Elementary_school,100
2003,data.Single-sex_basic_sanitation_facilities,data.High_school,100
2004,data.Single-sex_basic_sanitation_facilities,data.Middle_school,100
2004,data.Single-sex_basic_sanitation_facilities,data.Elementary_school,100
2004,data.Single-sex_basic_sanitation_facilities,data.High_school,100
2005,data.Single-sex_basic_sanitation_facilities,data.Middle_school,100
2005,data.Single-sex_basic_sanitation_facilities,data.Elementary_school,100
2005,data.Single-sex_basic_sanitation_facilities,data.High_school,100
2006,data.Single-sex_basic_sanitation_facilities,data.Middle_school,100
2006,data.Single-sex_basic_sanitation_facilities,data.Elementary_school,100
2006,data.Single-sex_basic_sanitation_facilities,data.High_school,100
2007,data.Single-sex_basic_sanitation_facilities,data.Middle_school,100
2007,data.Single-sex_basic_sanitation_facilities,data.Elementary_school,100
2007,data.Single-sex_basic_sanitation_facilities,data.High_school,100
2008,data.Single-sex_basic_sanitation_facilities,data.Middle_school,100
2008,data.Single-sex_basic_sanitation_facilities,data.Elementary_school,100
2008,data.Single-sex_basic_sanitation_facilities,data.High_school,100
2009,data.Single-sex_basic_sanitation_facilities,data.Middle_school,100
2009,data.Single-sex_basic_sanitation_facilities,data.Elementary_school,100
2009,data.Single-sex_basic_sanitation_facilities,data.High_school,100
2010,data.Single-sex_basic_sanitation_facilities,data.Middle_school,100
2010,data.Single-sex_basic_sanitation_facilities,data.Elementary_school,100
2010,data.Single-sex_basic_sanitation_facilities,data.High_school,100
2011,data.Single-sex_basic_sanitation_facilities,data.Middle_school,100
2011,data.Single-sex_basic_sanitation_facilities,data.Elementary_school,100
2011,data.Single-sex_basic_sanitation_facilities,data.High_school,100
2012,data.Single-sex_basic_sanitation_facilities,data.Middle_school,100
2012,data.Single-sex_basic_sanitation_facilities,data.Elementary_school,100
2012,data.Single-sex_basic_sanitation_facilities,data.High_school,100
2013,data.Single-sex_basic_sanitation_facilities,data.Middle_school,100
2013,data.Single-sex_basic_sanitation_facilities,data.Elementary_school,100
2013,data.Single-sex_basic_sanitation_facilities,data.High_school,100
2014,data.Single-sex_basic_sanitation_facilities,data.Middle_school,100
2014,data.Single-sex_basic_sanitation_facilities,data.Elementary_school,100
2014,data.Single-sex_basic_sanitation_facilities,data.High_school,100
2015,data.Single-sex_basic_sanitation_facilities,data.Middle_school,100
2015,data.Single-sex_basic_sanitation_facilities,data.Elementary_school,100
2015,data.Single-sex_basic_sanitation_facilities,data.High_school,100
2016,data.Single-sex_basic_sanitation_facilities,data.Middle_school,100
2016,data.Single-sex_basic_sanitation_facilities,data.Elementary_school,100
2016,data.Single-sex_basic_sanitation_facilities,data.High_school,100
2017,data.Single-sex_basic_sanitation_facilities,data.Middle_school,100
2017,data.Single-sex_basic_sanitation_facilities,data.Elementary_school,100
2017,data.Single-sex_basic_sanitation_facilities,data.High_school,100
2018,data.Single-sex_basic_sanitation_facilities,data.Middle_school,100
2018,data.Single-sex_basic_sanitation_facilities,data.Elementary_school,100
2018,data.Single-sex_basic_sanitation_facilities,data.High_school,100
2019,data.Single-sex_basic_sanitation_facilities,data.Middle_school,100
2019,data.Single-sex_basic_sanitation_facilities,data.Elementary_school,100
2019,data.Single-sex_basic_sanitation_facilities,data.High_school,100
2020,data.Single-sex_basic_sanitation_facilities,data.Middle_school,100
2020,data.Single-sex_basic_sanitation_facilities,data.Elementary_school,100
2020,data.Single-sex_basic_sanitation_facilities,data.High_school,100

