Year,성별,연령별,거주지역별,소득수준별,Value
2008,여성,19~29,,,25.1
2008,여성,30~49,,,14.8
2008,여성,50~64,,,11.9
2008,여성,65~,,,24.2
2008,여성,,동,,16.7
2008,여성,,읍/면,,17.0
2008,여성,,,하,21.7
2008,여성,,,data.Lower-middle,17.1
2008,여성,,,중,15.7
2008,여성,,,data.Upper-middle,14.9
2008,여성,,,상,12.8
2009,,,,,14.2
2009,,01~02,,,8.2
2009,,03~05,,,7.4
2009,,06~11,,,7.9
2009,,12~18,,,21.9
2009,,19~29,,,19.2
2009,,30~49,,,11.9
2009,,50~64,,,9.1
2009,,65~,,,22.6
2009,,,동,,13.9
2009,,,읍/면,,15.7
2009,,,,하,19.8
2009,,,,data.Lower-middle,15.9
2009,,,,중,13.4
2009,,,,data.Upper-middle,11.7
2009,,,,상,10.0
2009,남성,,,,10.1
2009,남성,01~02,,,5.7
2009,남성,03~05,,,6.3
2009,남성,06~11,,,7.1
2009,남성,12~18,,,19.3
2009,남성,19~29,,,14.9
2009,남성,30~49,,,6.2
2009,남성,50~64,,,6.2
2009,남성,65~,,,17.3
2009,남성,,동,,10.0
2009,남성,,읍/면,,10.6
2009,남성,,,하,15.1
2009,남성,,,data.Lower-middle,12.0
2009,남성,,,중,10.1
2009,남성,,,data.Upper-middle,7.2
2009,남성,,,상,5.0
2009,여성,,,,18.4
2009,여성,01~02,,,10.9
2009,여성,03~05,,,8.4
2009,여성,06~11,,,8.7
2009,여성,12~18,,,24.9
2009,여성,19~29,,,23.8
2009,여성,30~49,,,17.8
2009,여성,50~64,,,11.9
2009,여성,65~,,,26.1
2009,여성,,동,,17.9
2009,여성,,읍/면,,20.9
2009,여성,,,하,24.5
2009,여성,,,data.Lower-middle,19.7
2009,여성,,,중,16.9
2009,여성,,,data.Upper-middle,16.1
2009,여성,,,상,15.0
2010,,,,,10.0
2010,,01~02,,,4.9
2010,,03~05,,,7.0
2010,,06~11,,,7.5
2010,,12~18,,,15.6
2010,,19~29,,,14.8
2010,,30~49,,,8.1
2010,,50~64,,,5.7
2010,,65~,,,14.7
2010,,,동,,10.2
2010,,,읍/면,,9.5
2010,,,,하,14.2
2010,,,,data.Lower-middle,11.4
2010,,,,중,7.8
2010,,,,data.Upper-middle,8.0
2010,,,,상,7.8
2010,남성,,,,6.9
2010,남성,01~02,,,2.8
2010,남성,03~05,,,4.4
2010,남성,06~11,,,7.8
2010,남성,12~18,,,16.3
2010,남성,19~29,,,9.7
2010,남성,30~49,,,3.6
2010,남성,50~64,,,3.7
2010,남성,65~,,,10.6
2010,남성,,동,,7.1
2010,남성,,읍/면,,6.1
2010,남성,,,하,11.8
2010,남성,,,data.Lower-middle,7.5
2010,남성,,,중,5.6
2010,남성,,,data.Upper-middle,4.0
2010,남성,,,상,4.5
2010,여성,,,,13.2
2010,여성,01~02,,,7.2
2010,여성,03~05,,,9.7
2010,여성,06~11,,,7.2
2010,여성,12~18,,,14.7
2010,여성,19~29,,,20.1
2010,여성,30~49,,,12.8
2010,여성,50~64,,,7.8
2010,여성,65~,,,17.5
2010,여성,,동,,13.3
2010,여성,,읍/면,,12.9
2010,여성,,,하,16.6
2010,여성,,,data.Lower-middle,15.2
2010,여성,,,중,10.1
2010,여성,,,data.Upper-middle,12.0
2010,여성,,,상,11.2
2011,,,,,10.6
2011,,01~02,,,11.4
2011,,03~05,,,6.0
2011,,06~11,,,4.3
2011,,12~18,,,14.9
2011,,19~29,,,15.4
2011,,30~49,,,9.3
2011,,50~64,,,5.9
2011,,65~,,,17.0
2011,,,동,,11.0
2011,,,읍/면,,9.0
2011,,,,하,12.7
2011,,,,data.Lower-middle,11.2
2011,,,,중,10.3
2011,,,,data.Upper-middle,8.5
2011,,,,상,9.3
2011,남성,,,,7.4
2011,남성,01~02,,,8.2
2011,남성,03~05,,,5.4
2011,남성,06~11,,,4.7
2011,남성,12~18,,,15.0
2011,남성,19~29,,,9.9
2011,남성,30~49,,,4.7
2011,남성,50~64,,,4.5
2011,남성,65~,,,12.3
2011,남성,,동,,7.8
2011,남성,,읍/면,,5.4
2011,남성,,,하,10.5
2011,남성,,,data.Lower-middle,7.5
2011,남성,,,중,6.9
2011,남성,,,data.Upper-middle,5.1
2011,남성,,,상,6.1
2011,여성,,,,13.9
2011,여성,01~02,,,14.8
2011,여성,03~05,,,6.6
2011,여성,06~11,,,3.9
2011,여성,12~18,,,14.7
2011,여성,19~29,,,21.3
2011,여성,30~49,,,14.0
2011,여성,50~64,,,7.3
2011,여성,65~,,,20.2
2011,여성,,동,,14.2
2011,여성,,읍/면,,12.5
2011,여성,,,하,14.9
2011,여성,,,data.Lower-middle,14.9
2011,여성,,,중,13.6
2011,여성,,,data.Upper-middle,11.9
2011,여성,,,상,12.5
2012,,,,,11.9
2012,,01~02,,,9.3
2012,,03~05,,,7.6
2012,,06~11,,,7.3
2012,,12~18,,,17.0
2012,,19~29,,,17.1
2012,,30~49,,,10.3
2012,,50~64,,,8.0
2012,,65~,,,15.6
2012,,,동,,11.1
2012,,,읍/면,,15.2
2012,,,,하,17.4
2012,,,,data.Lower-middle,10.9
2012,,,,중,13.2
2012,,,,data.Upper-middle,9.1
2012,,,,상,7.8
2012,남성,,,,8.4
2012,남성,01~02,,,9.8
2012,남성,03~05,,,6.6
2012,남성,06~11,,,4.6
2012,남성,12~18,,,15.2
2012,남성,19~29,,,9.9
2012,남성,30~49,,,6.7
2012,남성,50~64,,,7.0
2012,남성,65~,,,9.8
2012,남성,,동,,7.7
2012,남성,,읍/면,,11.2
2012,남성,,,하,13.5
2012,남성,,,data.Lower-middle,7.8
2012,남성,,,중,8.5
2012,남성,,,data.Upper-middle,5.5
2012,남성,,,상,5.8
2012,여성,,,,15.4
2012,여성,01~02,,,8.7
2012,여성,03~05,,,8.5
2012,여성,06~11,,,10.1
2012,여성,12~18,,,19.2
2012,여성,19~29,,,24.8
2012,여성,30~49,,,14.1
2012,여성,50~64,,,8.9
2012,여성,65~,,,19.7
2012,여성,,동,,14.5
2012,여성,,읍/면,,19.4
2012,여성,,,하,21.2
2012,여성,,,data.Lower-middle,14.2
2012,여성,,,중,17.8
2012,여성,,,data.Upper-middle,12.8
2012,여성,,,상,9.8
2013,,,,,8.0
2013,,01~02,,,5.9
2013,,03~05,,,5.9
2013,,06~11,,,4.1
2013,,12~18,,,15.9
2013,,19~29,,,13.3
2013,,30~49,,,7.5
2013,,50~64,,,3.1
2013,,65~,,,8.5
2013,,,동,,8.3
2013,,,읍/면,,7.1
2013,,,,하,11.8
2013,,,,data.Lower-middle,7.3
2013,,,,중,7.6
2013,,,,data.Upper-middle,7.2
2013,,,,상,6.3
2013,남성,,,,5.3
2013,남성,01~02,,,4.9
2013,남성,03~05,,,3.0
2013,남성,06~11,,,3.2
2013,남성,12~18,,,15.4
2013,남성,19~29,,,8.6
2013,남성,30~49,,,2.9
2013,남성,50~64,,,2.6
2013,남성,65~,,,6.5
2013,남성,,동,,5.4
2013,남성,,읍/면,,5.0
2013,남성,,,하,9.0
2013,남성,,,data.Lower-middle,4.6
2013,남성,,,중,3.3
2013,남성,,,data.Upper-middle,5.2
2013,남성,,,상,4.3
2013,여성,,,,10.8
2013,여성,01~02,,,7.0
2013,여성,03~05,,,9.1
2013,여성,06~11,,,5.2
2013,여성,12~18,,,16.4
2013,여성,19~29,,,18.7
2013,여성,30~49,,,12.2
2013,여성,50~64,,,3.5
2013,여성,65~,,,9.9
2013,여성,,동,,11.1
2013,여성,,읍/면,,9.4
2013,여성,,,하,14.5
2013,여성,,,data.Lower-middle,10.4
2013,여성,,,중,11.7
2013,여성,,,data.Upper-middle,9.3
2013,여성,,,상,8.2
2014,,,,,8.0
2014,,01~02,,,12.7
2014,,03~05,,,4.8
2014,,06~11,,,3.5
2014,,12~18,,,15.4
2014,,19~29,,,12.4
2014,,30~49,,,7.9
2014,,50~64,,,3.3
2014,,65~,,,8.3
2014,,,동,,7.9
2014,,,읍/면,,8.5
2014,,,,하,11.7
2014,,,,data.Lower-middle,8.7
2014,,,,중,5.7
2014,,,,data.Upper-middle,7.9
2014,,,,상,5.6
2014,남성,,,,5.3
2014,남성,01~02,,,8.5
2014,남성,03~05,,,2.5
2014,남성,06~11,,,4.1
2014,남성,12~18,,,17.1
2014,남성,19~29,,,8.1
2014,남성,30~49,,,2.7
2014,남성,50~64,,,2.4
2014,남성,65~,,,5.9
2014,남성,,동,,5.1
2014,남성,,읍/면,,6.1
2014,남성,,,하,8.2
2014,남성,,,data.Lower-middle,5.3
2014,남성,,,중,3.2
2014,남성,,,data.Upper-middle,6.0
2014,남성,,,상,3.3
2014,여성,,,,10.8
2014,여성,01~02,,,17.0
2014,여성,03~05,,,7.3
2014,여성,06~11,,,2.9
2014,여성,12~18,,,13.6
2014,여성,19~29,,,17.2
2014,여성,30~49,,,13.3
2014,여성,50~64,,,4.1
2014,여성,65~,,,10.0
2014,여성,,동,,10.7
2014,여성,,읍/면,,11.0
2014,여성,,,하,15.4
2014,여성,,,data.Lower-middle,12.0
2014,여성,,,중,8.3
2014,여성,,,data.Upper-middle,9.9
2014,여성,,,상,8.0
2015,,,,,8.5
2015,,01~02,,,7.4
2015,,03~05,,,5.7
2015,,06~11,,,4.8
2015,,12~18,,,16.7
2015,,19~29,,,13.1
2015,,30~49,,,8.5
2015,,50~64,,,3.9
2015,,65~,,,8.3
2015,,,동,,8.6
2015,,,읍/면,,8.5
2015,,,,하,14.3
2015,,,,data.Lower-middle,9.4
2015,,,,중,6.1
2015,,,,data.Upper-middle,7.2
2015,,,,상,5.1
2015,남성,,,,5.5
2015,남성,01~02,,,5.5
2015,남성,03~05,,,4.0
2015,남성,06~11,,,5.4
2015,남성,12~18,,,15.8
2015,남성,19~29,,,6.1
2015,남성,30~49,,,4.3
2015,남성,50~64,,,3.0
2015,남성,65~,,,6.1
2015,남성,,동,,5.5
2015,남성,,읍/면,,5.5
2015,남성,,,하,11.0
2015,남성,,,data.Lower-middle,6.6
2015,남성,,,중,3.1
2015,남성,,,data.Upper-middle,3.7
2015,남성,,,상,2.9
2015,여성,,,,11.5
2015,여성,01~02,,,9.1
2015,여성,03~05,,,7.6
2015,여성,06~11,,,4.1
2015,여성,12~18,,,17.6
2015,여성,19~29,,,20.9
2015,여성,30~49,,,12.9
2015,여성,50~64,,,4.7
2015,여성,65~,,,9.9
2015,여성,,동,,11.5
2015,여성,,읍/면,,11.9
2015,여성,,,하,17.8
2015,여성,,,data.Lower-middle,12.2
2015,여성,,,중,9.1
2015,여성,,,data.Upper-middle,10.6
2015,여성,,,상,7.4
2016,,,,,12.4
2016,,01~02,,,4.8
2016,,03~05,,,7.3
2016,,06~11,,,4.8
2016,,12~18,,,19.4
2016,,19~29,,,15.4
2016,,30~49,,,12.9
2016,,50~64,,,9.1
2016,,65~,,,14.1
2016,,,동,,11.9
2016,,,읍/면,,15.3
2016,,,,하,16.2
2016,,,,data.Lower-middle,12.3
2016,,,,중,12.7
2016,,,,data.Upper-middle,10.0
2016,,,,상,10.4
2016,남성,,,,8.2
2016,남성,01~02,,,2.1
2016,남성,03~05,,,5.4
2016,남성,06~11,,,4.6
2016,남성,12~18,,,15.2
2016,남성,19~29,,,8.4
2016,남성,30~49,,,7.6
2016,남성,50~64,,,7.0
2016,남성,65~,,,10.6
2016,남성,,동,,7.6
2016,남성,,읍/면,,11.6
2016,남성,,,하,14.3
2016,남성,,,data.Lower-middle,6.1
2016,남성,,,중,8.2
2016,남성,,,data.Upper-middle,5.9
2016,남성,,,상,6.1
2016,여성,,,,16.6
2016,여성,01~02,,,8.1
2016,여성,03~05,,,9.4
2016,여성,06~11,,,5.0
2016,여성,12~18,,,24.3
2016,여성,19~29,,,23.2
2016,여성,30~49,,,18.5
2016,여성,50~64,,,11.3
2016,여성,65~,,,16.6
2016,여성,,동,,16.1
2016,여성,,읍/면,,19.2
2016,여성,,,하,18.4
2016,여성,,,data.Lower-middle,18.1
2016,여성,,,중,17.0
2016,여성,,,data.Upper-middle,13.8
2016,여성,,,상,15.0
2017,,,,,13.3
2017,,01~02,,,7.8
2017,,03~05,,,3.2
2017,,06~11,,,6.6
2017,,12~18,,,19.2
2017,,19~29,,,19.9
2017,,30~49,,,13.1
2017,,50~64,,,9.9
2017,,65~,,,14.7
2017,,,동,,13.1
2017,,,읍/면,,14.7
2017,,,,하,19.1
2017,,,,data.Lower-middle,13.5
2017,,,,중,12.0
2017,,,,data.Upper-middle,12.8
2017,,,,상,8.8
2017,남성,,,,10.7
2017,남성,01~02,,,6.5
2017,남성,03~05,,,1.8
2017,남성,06~11,,,6.5
2017,남성,12~18,,,16.0
2017,남성,19~29,,,16.5
2017,남성,30~49,,,8.7
2017,남성,50~64,,,8.3
2017,남성,65~,,,14.6
2017,남성,,동,,10.4
2017,남성,,읍/면,,12.4
2017,남성,,,하,16.1
2017,남성,,,data.Lower-middle,11.4
2017,남성,,,중,9.0
2017,남성,,,data.Upper-middle,9.5
2017,남성,,,상,7.1
2017,여성,,,,16.0
2017,여성,01~02,,,9.4
2017,여성,03~05,,,4.8
2017,여성,06~11,,,6.7
2017,여성,12~18,,,22.7
2017,여성,19~29,,,23.7
2017,여성,30~49,,,17.8
2017,여성,50~64,,,11.5
2017,여성,65~,,,14.9
2017,여성,,동,,15.8
2017,여성,,읍/면,,17.1
2017,여성,,,하,22.3
2017,여성,,,data.Lower-middle,15.7
2017,여성,,,중,15.1
2017,여성,,,data.Upper-middle,16.2
2017,여성,,,상,10.3
2018,,,,,12.9
2018,,01~02,,,5.3
2018,,03~05,,,3.8
2018,,06~11,,,8.4
2018,,12~18,,,17.6
2018,,19~29,,,16.2
2018,,30~49,,,14.4
2018,,50~64,,,8.8
2018,,65~,,,14.4
2018,,,동,,12.9
2018,,,읍/면,,12.6
2018,,,,하,16.3
2018,,,,data.Lower-middle,12.4
2018,,,,중,13.7
2018,,,,data.Upper-middle,10.9
2018,,,,상,10.5
2018,남성,,,,8.3
2018,남성,01~02,,,3.8
2018,남성,03~05,,,3.0
2018,남성,06~11,,,8.3
2018,남성,12~18,,,18.3
2018,남성,19~29,,,10.2
2018,남성,30~49,,,7.0
2018,남성,50~64,,,5.3
2018,남성,65~,,,11.1
2018,남성,,동,,8.3
2018,남성,,읍/면,,8.3
2018,남성,,,하,10.0
2018,남성,,,data.Lower-middle,8.4
2018,남성,,,중,10.3
2018,남성,,,data.Upper-middle,7.2
2018,남성,,,상,5.3
2018,여성,,,,17.4
2018,여성,01~02,,,6.7
2018,여성,03~05,,,4.9
2018,여성,06~11,,,8.5
2018,여성,12~18,,,16.9
2018,여성,19~29,,,23.1
2018,여성,30~49,,,22.3
2018,여성,50~64,,,12.3
2018,여성,65~,,,16.9
2018,여성,,동,,17.5
2018,여성,,읍/면,,16.9
2018,여성,,,하,22.2
2018,여성,,,data.Lower-middle,16.5
2018,여성,,,중,17.1
2018,여성,,,data.Upper-middle,14.7
2018,여성,,,상,15.7
