Year,공공서비스 유형별,경험여부,만족도,Value
2016,인터넷 민원발급,경험하지 않았다,,75.4
2016,세무 서비스,경험했다,,17.0
2016,세무 서비스,경험했다,1 전혀 만족하지 않는다,2.8
2016,세무 서비스,경험했다,2 별로 만족하지 않는다,6.1
2016,세무 서비스,경험했다,3 보통이다,31.4
2016,세무 서비스,경험했다,4 약간 만족한다,49.5
2016,세무 서비스,경험했다,5 매우 만족한다,10.2
2016,세무 서비스,경험하지 않았다,,83.0
2016,경찰 서비스,경험했다,,7.7
2016,경찰 서비스,경험했다,1 전혀 만족하지 않는다,6.8
2016,경찰 서비스,경험했다,2 별로 만족하지 않는다,12.8
2016,경찰 서비스,경험했다,3 보통이다,32.9
2016,경찰 서비스,경험했다,4 약간 만족한다,35.8
2016,경찰 서비스,경험했다,5 매우 만족한다,11.7
2016,경찰 서비스,경험하지 않았다,,92.3
2017,공청회·청문회,경험했다,,1.5
2017,공청회·청문회,경험했다,1 전혀 만족하지 않는다,7.4
2017,공청회·청문회,경험했다,2 별로 만족하지 않는다,25.4
2017,공청회·청문회,경험했다,3 보통이다,41.7
2017,공청회·청문회,경험했다,4 약간 만족한다,24.4
2017,공청회·청문회,경험했다,5 매우 만족한다,1.1
2017,공청회·청문회,경험하지 않았다,,98.5
2017,주민참여예산,경험했다,,1.4
2017,주민참여예산,경험했다,1 전혀 만족하지 않는다,5.2
2017,주민참여예산,경험했다,2 별로 만족하지 않는다,18.2
2017,주민참여예산,경험했다,3 보통이다,35.8
2017,주민참여예산,경험했다,4 약간 만족한다,34.0
2017,주민참여예산,경험했다,5 매우 만족한다,6.8
2017,주민참여예산,경험하지 않았다,,98.6
2017,주민자치센터,경험했다,,46.5
2017,주민자치센터,경험했다,1 전혀 만족하지 않는다,0.6
2017,주민자치센터,경험했다,2 별로 만족하지 않는다,2.0
2017,주민자치센터,경험했다,3 보통이다,15.0
2017,주민자치센터,경험했다,4 약간 만족한다,65.1
2017,주민자치센터,경험했다,5 매우 만족한다,17.4
2017,주민자치센터,경험하지 않았다,,53.5
2017,인허가 서비스,경험했다,,6.6
2017,인허가 서비스,경험했다,1 전혀 만족하지 않는다,3.8
2017,인허가 서비스,경험했다,2 별로 만족하지 않는다,7.4
2017,인허가 서비스,경험했다,3 보통이다,28.9
2017,인허가 서비스,경험했다,4 약간 만족한다,52.8
2017,인허가 서비스,경험했다,5 매우 만족한다,7.1
2017,인허가 서비스,경험하지 않았다,,93.4
2017,인터넷 민원발급,경험했다,,25.8
2017,인터넷 민원발급,경험했다,1 전혀 만족하지 않는다,1.3
2017,인터넷 민원발급,경험했다,2 별로 만족하지 않는다,2.7
2017,인터넷 민원발급,경험했다,3 보통이다,18.7
2017,인터넷 민원발급,경험했다,4 약간 만족한다,57.7
2017,인터넷 민원발급,경험했다,5 매우 만족한다,19.6
2017,인터넷 민원발급,경험하지 않았다,,74.2
2017,세무 서비스,경험했다,,18.6
2017,세무 서비스,경험했다,1 전혀 만족하지 않는다,1.9
2017,세무 서비스,경험했다,2 별로 만족하지 않는다,3.7
2017,세무 서비스,경험했다,3 보통이다,23.0
2017,세무 서비스,경험했다,4 약간 만족한다,60.0
2017,세무 서비스,경험했다,5 매우 만족한다,11.4
2017,세무 서비스,경험하지 않았다,,81.4
2017,경찰 서비스,경험했다,,7.3
2017,경찰 서비스,경험했다,1 전혀 만족하지 않는다,6.0
2017,경찰 서비스,경험했다,2 별로 만족하지 않는다,10.6
2017,경찰 서비스,경험했다,3 보통이다,24.6
2017,경찰 서비스,경험했다,4 약간 만족한다,48.4
2017,경찰 서비스,경험했다,5 매우 만족한다,10.5
2017,경찰 서비스,경험하지 않았다,,92.7
2017,소방 서비스,경험했다,,3.3
2017,소방 서비스,경험했다,1 전혀 만족하지 않는다,7.6
2017,소방 서비스,경험했다,2 별로 만족하지 않는다,5.0
2017,소방 서비스,경험했다,3 보통이다,22.0
2017,소방 서비스,경험했다,4 약간 만족한다,37.0
2017,소방 서비스,경험했다,5 매우 만족한다,28.4
2017,소방 서비스,경험하지 않았다,,96.7
2018,공청회·청문회,경험했다,,1.1
2018,공청회·청문회,경험했다,1 전혀 만족하지 않는다,0.5
2018,공청회·청문회,경험했다,2 별로 만족하지 않는다,21.0
2018,공청회·청문회,경험했다,3 보통이다,36.3
2018,공청회·청문회,경험했다,4 약간 만족한다,36.2
2018,공청회·청문회,경험했다,5 매우 만족한다,6.0
2018,공청회·청문회,경험하지 않았다,,98.9
2018,주민참여예산,경험했다,,1.4
2018,주민참여예산,경험했다,1 전혀 만족하지 않는다,4.9
2018,주민참여예산,경험했다,2 별로 만족하지 않는다,10.5
2018,주민참여예산,경험했다,3 보통이다,33.6
2018,주민참여예산,경험했다,4 약간 만족한다,45.7
2018,주민참여예산,경험했다,5 매우 만족한다,5.2
2018,주민참여예산,경험하지 않았다,,98.6
2018,주민자치센터,경험했다,,48.5
2018,주민자치센터,경험했다,1 전혀 만족하지 않는다,0.3
2018,주민자치센터,경험했다,2 별로 만족하지 않는다,1.2
2018,주민자치센터,경험했다,3 보통이다,19.4
2018,주민자치센터,경험했다,4 약간 만족한다,63.7
2018,주민자치센터,경험했다,5 매우 만족한다,15.4
2018,주민자치센터,경험하지 않았다,,51.5
2018,인허가 서비스,경험했다,,6.8
2018,인허가 서비스,경험했다,1 전혀 만족하지 않는다,0.8
2018,인허가 서비스,경험했다,2 별로 만족하지 않는다,3.5
2018,인허가 서비스,경험했다,3 보통이다,31.0
2018,인허가 서비스,경험했다,4 약간 만족한다,56.5
2018,인허가 서비스,경험했다,5 매우 만족한다,8.2
2018,인허가 서비스,경험하지 않았다,,93.2
2018,인터넷 민원발급,경험했다,,26.5
2018,인터넷 민원발급,경험했다,1 전혀 만족하지 않는다,0.5
2018,인터넷 민원발급,경험했다,2 별로 만족하지 않는다,1.7
2018,인터넷 민원발급,경험했다,3 보통이다,15.6
2018,인터넷 민원발급,경험했다,4 약간 만족한다,61.0
2018,인터넷 민원발급,경험했다,5 매우 만족한다,21.2
2018,인터넷 민원발급,경험하지 않았다,,73.5
2018,세무 서비스,경험했다,,20.0
2018,세무 서비스,경험했다,1 전혀 만족하지 않는다,0.8
2018,세무 서비스,경험했다,2 별로 만족하지 않는다,2.9
2018,세무 서비스,경험했다,3 보통이다,27.5
2018,세무 서비스,경험했다,4 약간 만족한다,59.9
2018,세무 서비스,경험했다,5 매우 만족한다,9.0
2018,세무 서비스,경험하지 않았다,,80.0
2018,경찰 서비스,경험했다,,6.1
2018,경찰 서비스,경험했다,1 전혀 만족하지 않는다,5.5
2018,경찰 서비스,경험했다,2 별로 만족하지 않는다,9.9
2018,경찰 서비스,경험했다,3 보통이다,28.6
2018,경찰 서비스,경험했다,4 약간 만족한다,47.3
2018,경찰 서비스,경험했다,5 매우 만족한다,8.6
2018,경찰 서비스,경험하지 않았다,,93.9
2018,소방 서비스,경험했다,,3.6
2018,소방 서비스,경험했다,1 전혀 만족하지 않는다,0.5
2018,소방 서비스,경험했다,2 별로 만족하지 않는다,2.2
2018,소방 서비스,경험했다,3 보통이다,12.5
2018,소방 서비스,경험했다,4 약간 만족한다,59.9
2018,소방 서비스,경험했다,5 매우 만족한다,25.0
2018,소방 서비스,경험하지 않았다,,96.4
2018,교육 서비스,경험했다,,9.6
2018,교육 서비스,경험했다,1 전혀 만족하지 않는다,0.6
2018,교육 서비스,경험했다,2 별로 만족하지 않는다,4.1
2018,교육 서비스,경험했다,3 보통이다,31.8
2018,교육 서비스,경험했다,4 약간 만족한다,55.8
2018,교육 서비스,경험했다,5 매우 만족한다,7.6
2018,교육 서비스,경험하지 않았다,,90.4
2018,보건 서비스,경험했다,,28.7
2018,보건 서비스,경험했다,1 전혀 만족하지 않는다,0.2
2018,보건 서비스,경험했다,2 별로 만족하지 않는다,1.1
2018,보건 서비스,경험했다,3 보통이다,18.6
2018,보건 서비스,경험했다,4 약간 만족한다,65.3
2018,보건 서비스,경험했다,5 매우 만족한다,14.8
2018,보건 서비스,경험하지 않았다,,71.3
2019,공청회·청문회,경험했다,,1.7
2019,공청회·청문회,경험했다,1 전혀 만족하지 않는다,5.1
2019,공청회·청문회,경험했다,2 별로 만족하지 않는다,20.5
2019,공청회·청문회,경험했다,3 보통이다,41.4
2019,공청회·청문회,경험했다,4 약간 만족한다,32.3
2019,공청회·청문회,경험했다,5 매우 만족한다,0.7
2019,공청회·청문회,경험하지 않았다,,98.3
2019,주민참여예산,경험했다,,2.3
2019,주민참여예산,경험했다,1 전혀 만족하지 않는다,2.6
2019,주민참여예산,경험했다,2 별로 만족하지 않는다,13.1
2019,주민참여예산,경험했다,3 보통이다,40.0
2019,주민참여예산,경험했다,4 약간 만족한다,37.9
2019,주민참여예산,경험했다,5 매우 만족한다,6.4
2019,주민참여예산,경험하지 않았다,,97.7
2019,주민자치센터,경험했다,,45.0
2019,주민자치센터,경험했다,1 전혀 만족하지 않는다,0.7
2019,주민자치센터,경험했다,2 별로 만족하지 않는다,1.5
2019,주민자치센터,경험했다,3 보통이다,20.5
2019,주민자치센터,경험했다,4 약간 만족한다,59.3
2019,주민자치센터,경험했다,5 매우 만족한다,18.0
2019,주민자치센터,경험하지 않았다,,55.0
2019,인허가 서비스,경험했다,,6.3
2019,인허가 서비스,경험했다,1 전혀 만족하지 않는다,1.9
2019,인허가 서비스,경험했다,2 별로 만족하지 않는다,6.1
2019,인허가 서비스,경험했다,3 보통이다,36.7
2019,인허가 서비스,경험했다,4 약간 만족한다,38.2
2019,인허가 서비스,경험했다,5 매우 만족한다,17.0
2019,인허가 서비스,경험하지 않았다,,93.7
2019,인터넷 민원발급,경험했다,,28.9
2019,인터넷 민원발급,경험했다,1 전혀 만족하지 않는다,0.6
2019,인터넷 민원발급,경험했다,2 별로 만족하지 않는다,2.5
2019,인터넷 민원발급,경험했다,3 보통이다,18.1
2019,인터넷 민원발급,경험했다,4 약간 만족한다,53.8
2019,인터넷 민원발급,경험했다,5 매우 만족한다,25.0
2019,인터넷 민원발급,경험하지 않았다,,71.1
2019,세무 서비스,경험했다,,17.0
2019,세무 서비스,경험했다,1 전혀 만족하지 않는다,1.8
2019,세무 서비스,경험했다,2 별로 만족하지 않는다,3.4
2019,세무 서비스,경험했다,3 보통이다,26.7
2019,세무 서비스,경험했다,4 약간 만족한다,50.9
2019,세무 서비스,경험했다,5 매우 만족한다,17.2
2019,세무 서비스,경험하지 않았다,,83.0
2019,경찰 서비스,경험했다,,6.5
2019,경찰 서비스,경험했다,1 전혀 만족하지 않는다,4.6
2019,경찰 서비스,경험했다,2 별로 만족하지 않는다,10.0
2019,경찰 서비스,경험했다,3 보통이다,31.5
2019,경찰 서비스,경험했다,4 약간 만족한다,40.0
2019,경찰 서비스,경험했다,5 매우 만족한다,13.8
2019,경찰 서비스,경험하지 않았다,,93.5
2019,소방 서비스,경험했다,,3.4
2019,소방 서비스,경험했다,1 전혀 만족하지 않는다,3.5
2019,소방 서비스,경험했다,2 별로 만족하지 않는다,3.4
2019,소방 서비스,경험했다,3 보통이다,26.5
2019,소방 서비스,경험했다,4 약간 만족한다,40.6
2019,소방 서비스,경험했다,5 매우 만족한다,26.0
2019,소방 서비스,경험하지 않았다,,96.6
2019,교육 서비스,경험했다,,11.6
2019,교육 서비스,경험했다,1 전혀 만족하지 않는다,0.8
2019,교육 서비스,경험했다,2 별로 만족하지 않는다,5.0
2019,교육 서비스,경험했다,3 보통이다,29.0
2019,교육 서비스,경험했다,4 약간 만족한다,50.7
2019,교육 서비스,경험했다,5 매우 만족한다,14.5
2019,교육 서비스,경험하지 않았다,,88.4
2019,보건 서비스,경험했다,,35.3
2019,보건 서비스,경험했다,1 전혀 만족하지 않는다,0.5
2019,보건 서비스,경험했다,2 별로 만족하지 않는다,2.6
2019,보건 서비스,경험했다,3 보통이다,24.0
2019,보건 서비스,경험했다,4 약간 만족한다,52.8
2019,보건 서비스,경험했다,5 매우 만족한다,20.1
2019,보건 서비스,경험하지 않았다,,64.7
