Year,사망원인별,성별,Value
2005,심혈관계 질환,,0.6
2005,심혈관계 질환,남성,0.5
2005,심혈관계 질환,여성,0.7
2005,호흡기 질환,,20.75055318
2005,호흡기 질환,남성,25.59232854
2005,호흡기 질환,여성,15.88159474
2006,암,,134.8
2006,암,남성,171.6
2006,암,여성,97.9
2006,당뇨,,23.8
2006,당뇨,남성,23.8
2006,당뇨,여성,23.8
2006,심혈관계 질환,,0.6
2006,심혈관계 질환,남성,0.4
2006,심혈관계 질환,여성,0.7
2006,호흡기 질환,,19.89893985
2006,호흡기 질환,남성,24.98508668
2006,호흡기 질환,여성,14.78646327
2007,암,,138.1
2007,암,남성,174.3
2007,암,여성,101.8
2007,당뇨,,23.1
2007,당뇨,남성,23.2
2007,당뇨,여성,22.9
2007,심혈관계 질환,,0.5
2007,심혈관계 질환,남성,0.3
2007,심혈관계 질환,여성,0.7
2007,호흡기 질환,,21.03180471
2007,호흡기 질환,남성,25.76741149
2007,호흡기 질환,여성,16.27341492
2008,암,,139.5
2008,암,남성,176.9
2008,암,여성,101.9
2008,당뇨,,20.7
2008,당뇨,남성,20.9
2008,당뇨,여성,20.5
2008,심혈관계 질환,,0.5
2008,심혈관계 질환,남성,0.3
2008,심혈관계 질환,여성,0.6
2008,호흡기 질환,,21.3198566
2008,호흡기 질환,남성,26.09355314
2008,호흡기 질환,여성,16.52495259
2009,암,,140.5
2009,암,남성,176.3
2009,암,여성,104.6
2009,당뇨,,19.6
2009,당뇨,남성,19.9
2009,당뇨,여성,19.4
2009,심혈관계 질환,,0.4
2009,심혈관계 질환,남성,0.2
2009,심혈관계 질환,여성,0.5
2009,호흡기 질환,,21.19349077
2009,호흡기 질환,남성,26.28191888
2009,호흡기 질환,여성,16.08533346
2010,암,,144.4
2010,암,남성,181.0
2010,암,여성,107.8
2010,당뇨,,20.7
2010,당뇨,남성,21.0
2010,당뇨,여성,20.5
2010,심혈관계 질환,,0.4
2010,심혈관계 질환,남성,0.3
2010,심혈관계 질환,여성,0.5
2010,호흡기 질환,,22.00288989
2010,호흡기 질환,남성,27.04870791
2010,호흡기 질환,여성,16.9419734
2011,암,,142.8
2011,암,남성,178.9
2011,암,여성,106.7
2011,당뇨,,21.5
2011,당뇨,남성,22.1
2011,당뇨,여성,20.9
2011,심혈관계 질환,,0.4
2011,심혈관계 질환,남성,0.2
2011,심혈관계 질환,여성,0.6
2011,호흡기 질환,,22.39806329
2011,호흡기 질환,남성,27.50601407
2011,호흡기 질환,여성,17.27948027
2012,암,,146.5
2012,암,남성,184.5
2012,암,여성,108.5
2012,당뇨,,23.0
2012,당뇨,남성,23.2
2012,당뇨,여성,22.7
2012,심혈관계 질환,,0.5
2012,심혈관계 질환,남성,0.2
2012,심혈관계 질환,여성,0.7
2012,호흡기 질환,,24.46701878
2012,호흡기 질환,남성,29.47891521
2012,호흡기 질환,여성,19.44921284
2013,암,,149.0
2013,암,남성,186.2
2013,암,여성,111.8
2013,당뇨,,21.5
2013,당뇨,남성,21.3
2013,당뇨,여성,21.8
2013,심혈관계 질환,,0.3
2013,심혈관계 질환,남성,0.2
2013,심혈관계 질환,여성,0.5
2013,호흡기 질환,,22.94746955
2013,호흡기 질환,남성,27.80532381
2013,호흡기 질환,여성,18.08828829
2014,암,,150.9
2014,암,남성,188.7
2014,암,여성,113.2
2014,당뇨,,20.7
2014,당뇨,남성,20.8
2014,당뇨,여성,20.7
2014,심혈관계 질환,,0.3
2014,심혈관계 질환,남성,0.2
2014,심혈관계 질환,여성,0.5
2014,호흡기 질환,,23.57418347
2014,호흡기 질환,남성,28.91487142
2014,호흡기 질환,여성,18.23647964
2015,암,,150.8
2015,암,남성,187.3
2015,암,여성,114.4
2015,당뇨,,20.7
2015,당뇨,남성,20.6
2015,당뇨,여성,20.8
2015,심혈관계 질환,,0.3
2015,심혈관계 질환,남성,0.2
2015,심혈관계 질환,여성,0.4
2015,호흡기 질환,,25.0197643
2015,호흡기 질환,남성,30.47758062
2015,호흡기 질환,여성,19.56957026
2016,암,,153.0
2016,암,남성,188.8
2016,암,여성,117.2
2016,당뇨,,19.2
2016,당뇨,남성,19.2
2016,당뇨,여성,19.2
2016,심혈관계 질환,,0.3
2016,심혈관계 질환,남성,0.2
2016,심혈관계 질환,여성,0.4
2016,호흡기 질환,,24.78627172
2016,호흡기 질환,남성,30.12008725
2016,호흡기 질환,여성,19.46441056
2017,암,,153.9
2017,암,남성,191.1
2017,암,여성,116.9
2017,당뇨,,17.9
2017,당뇨,남성,17.6
2017,당뇨,여성,18.2
2017,심혈관계 질환,,0.4
2017,심혈관계 질환,남성,0.3
2017,심혈관계 질환,여성,0.5
2017,호흡기 질환,,25.26024237
2017,호흡기 질환,남성,31.03990687
2017,호흡기 질환,여성,19.49797053
2018,암,,154.3
2018,암,남성,191.0
2018,암,여성,117.7
2018,당뇨,,17.1
2018,당뇨,남성,17.3
2018,당뇨,여성,17.0
2018,심혈관계 질환,,0.3
2018,심혈관계 질환,남성,0.2
2018,심혈관계 질환,여성,0.4
2018,호흡기 질환,,26.71104303
2018,호흡기 질환,남성,32.5326642
2018,호흡기 질환,여성,20.91138582
2019,암,,158.2
2019,암,남성,196.3
2019,암,여성,120.2
2019,당뇨,,15.8
2019,당뇨,남성,16.1
2019,당뇨,여성,15.5
2019,심혈관계 질환,,0.4
2019,심혈관계 질환,남성,0.2
2019,심혈관계 질환,여성,0.6
2019,호흡기 질환,,25.68886224
2019,호흡기 질환,남성,32.08985221
2019,호흡기 질환,여성,19.31741393
2020,암,,160.1
2020,암,남성,198.5
2020,암,여성,121.9
2020,당뇨,,16.5
2020,당뇨,남성,16.9
2020,당뇨,여성,16.1
2020,심혈관계 질환,,0.3
2020,심혈관계 질환,남성,0.2
2020,심혈관계 질환,여성,0.5
2020,호흡기 질환,,26.89425372
2020,호흡기 질환,남성,32.94529985
2020,호흡기 질환,여성,20.87543308
2021,암,,161.1
2021,암,남성,199.0
2021,암,여성,123.4
2021,당뇨,,17.5
2021,당뇨,남성,18.3
2021,당뇨,여성,16.6
2021,심혈관계 질환,,0.3
2021,심혈관계 질환,남성,0.2
2021,심혈관계 질환,여성,0.5
2021,호흡기 질환,,27.21238051
2021,호흡기 질환,남성,33.99884842
2021,호흡기 질환,여성,20.46678526
