Year,data.Public_Services,data.Experiences,data.Satisfaction,Value
2017,data.Participatory_budgeting,data.Experienced,data.2_(Not_that_much),18.2
2017,data.Participatory_budgeting,data.Experienced,data.3_(Normal),35.8
2017,data.Participatory_budgeting,data.Experienced,data.4_(A_little_bit),34.0
2017,data.Participatory_budgeting,data.Experienced,data.5_(Very_satisfactory),6.8
2017,data.Community_center,data.Experienced,data.1_(Not_at_all),0.6
2017,data.Community_center,data.Experienced,data.2_(Not_that_much),2.0
2017,data.Community_center,data.Experienced,data.3_(Normal),15.0
2017,data.Community_center,data.Experienced,data.4_(A_little_bit),65.1
2017,data.Community_center,data.Experienced,data.5_(Very_satisfactory),17.4
2017,data.Licensing_service,data.Experienced,data.1_(Not_at_all),3.8
2017,data.Licensing_service,data.Experienced,data.2_(Not_that_much),7.4
2017,data.Licensing_service,data.Experienced,data.3_(Normal),28.9
2017,data.Licensing_service,data.Experienced,data.4_(A_little_bit),52.8
2017,data.Licensing_service,data.Experienced,data.5_(Very_satisfactory),7.1
2017,data.Online_official_documents,data.Experienced,data.1_(Not_at_all),1.3
2017,data.Online_official_documents,data.Experienced,data.2_(Not_that_much),2.7
2017,data.Online_official_documents,data.Experienced,data.3_(Normal),18.7
2017,data.Online_official_documents,data.Experienced,data.4_(A_little_bit),57.7
2017,data.Online_official_documents,data.Experienced,data.5_(Very_satisfactory),19.6
2017,data.Tax_affair_service,data.Experienced,data.1_(Not_at_all),1.9
2017,data.Tax_affair_service,data.Experienced,data.2_(Not_that_much),3.7
2017,data.Tax_affair_service,data.Experienced,data.3_(Normal),23.0
2017,data.Tax_affair_service,data.Experienced,data.4_(A_little_bit),60.0
2017,data.Tax_affair_service,data.Experienced,data.5_(Very_satisfactory),11.4
2017,data.Police_service,data.Experienced,data.1_(Not_at_all),6.0
2017,data.Police_service,data.Experienced,data.2_(Not_that_much),10.6
2017,data.Police_service,data.Experienced,data.3_(Normal),24.6
2017,data.Police_service,data.Experienced,data.4_(A_little_bit),48.4
2017,data.Police_service,data.Experienced,data.5_(Very_satisfactory),10.5
2017,data.Fire_administration_service,data.Experienced,,3.3
2017,data.Fire_administration_service,data.Experienced,data.1_(Not_at_all),7.6
2017,data.Fire_administration_service,data.Experienced,data.2_(Not_that_much),5.0
2017,data.Fire_administration_service,data.Experienced,data.3_(Normal),22.0
2017,data.Fire_administration_service,data.Experienced,data.4_(A_little_bit),37.0
2017,data.Fire_administration_service,data.Experienced,data.5_(Very_satisfactory),28.4
2018,data.Public_hearing,data.Experienced,data.1_(Not_at_all),0.5
2018,data.Public_hearing,data.Experienced,data.2_(Not_that_much),21.0
2018,data.Public_hearing,data.Experienced,data.3_(Normal),36.3
2018,data.Public_hearing,data.Experienced,data.4_(A_little_bit),36.2
2018,data.Public_hearing,data.Experienced,data.5_(Very_satisfactory),6.0
2018,data.Participatory_budgeting,data.Experienced,data.1_(Not_at_all),4.9
2018,data.Participatory_budgeting,data.Experienced,data.2_(Not_that_much),10.5
2018,data.Participatory_budgeting,data.Experienced,data.3_(Normal),33.6
2018,data.Participatory_budgeting,data.Experienced,data.4_(A_little_bit),45.7
2018,data.Participatory_budgeting,data.Experienced,data.5_(Very_satisfactory),5.2
2018,data.Community_center,data.Experienced,data.1_(Not_at_all),0.3
2018,data.Community_center,data.Experienced,data.2_(Not_that_much),1.2
2018,data.Community_center,data.Experienced,data.3_(Normal),19.4
2018,data.Community_center,data.Experienced,data.4_(A_little_bit),63.7
2018,data.Community_center,data.Experienced,data.5_(Very_satisfactory),15.4
2018,data.Licensing_service,data.Experienced,data.1_(Not_at_all),0.8
2018,data.Licensing_service,data.Experienced,data.2_(Not_that_much),3.5
2018,data.Licensing_service,data.Experienced,data.3_(Normal),31.0
2018,data.Licensing_service,data.Experienced,data.4_(A_little_bit),56.5
2018,data.Licensing_service,data.Experienced,data.5_(Very_satisfactory),8.2
2018,data.Online_official_documents,data.Experienced,data.1_(Not_at_all),0.5
2018,data.Online_official_documents,data.Experienced,data.2_(Not_that_much),1.7
2018,data.Online_official_documents,data.Experienced,data.3_(Normal),15.6
2018,data.Online_official_documents,data.Experienced,data.4_(A_little_bit),61.0
2018,data.Online_official_documents,data.Experienced,data.5_(Very_satisfactory),21.2
2018,data.Tax_affair_service,data.Experienced,data.1_(Not_at_all),0.8
2018,data.Tax_affair_service,data.Experienced,data.2_(Not_that_much),2.9
2018,data.Tax_affair_service,data.Experienced,data.3_(Normal),27.5
2018,data.Tax_affair_service,data.Experienced,data.4_(A_little_bit),59.9
2018,data.Tax_affair_service,data.Experienced,data.5_(Very_satisfactory),9.0
2018,data.Police_service,data.Experienced,data.1_(Not_at_all),5.5
2018,data.Police_service,data.Experienced,data.2_(Not_that_much),9.9
2018,data.Police_service,data.Experienced,data.3_(Normal),28.6
2018,data.Police_service,data.Experienced,data.4_(A_little_bit),47.3
2018,data.Police_service,data.Experienced,data.5_(Very_satisfactory),8.6
2018,data.Fire_administration_service,data.Experienced,data.1_(Not_at_all),0.5
2018,data.Fire_administration_service,data.Experienced,data.2_(Not_that_much),2.2
2018,data.Fire_administration_service,data.Experienced,data.3_(Normal),12.5
2018,data.Fire_administration_service,data.Experienced,data.4_(A_little_bit),59.9
2018,data.Fire_administration_service,data.Experienced,data.5_(Very_satisfactory),25.0
2018,data.Education_service,data.Experienced,data.1_(Not_at_all),0.6
2018,data.Education_service,data.Experienced,data.2_(Not_that_much),4.1
2018,data.Education_service,data.Experienced,data.3_(Normal),31.8
2018,data.Education_service,data.Experienced,data.4_(A_little_bit),55.8
2018,data.Education_service,data.Experienced,data.5_(Very_satisfactory),7.6
2018,data.Health_service,data.Experienced,data.1_(Not_at_all),0.2
2018,data.Health_service,data.Experienced,data.2_(Not_that_much),1.1
2018,data.Health_service,data.Experienced,data.3_(Normal),18.6
2018,data.Health_service,data.Experienced,data.4_(A_little_bit),65.3
2018,data.Health_service,data.Experienced,data.5_(Very_satisfactory),14.8
2019,data.Public_hearing,data.Experienced,data.1_(Not_at_all),5.1
2019,data.Public_hearing,data.Experienced,data.2_(Not_that_much),20.5
2019,data.Public_hearing,data.Experienced,data.3_(Normal),41.4
2019,data.Public_hearing,data.Experienced,data.4_(A_little_bit),32.3
2019,data.Public_hearing,data.Experienced,data.5_(Very_satisfactory),0.7
2019,data.Participatory_budgeting,data.Experienced,data.1_(Not_at_all),2.6
2019,data.Participatory_budgeting,data.Experienced,data.2_(Not_that_much),13.1
2019,data.Participatory_budgeting,data.Experienced,data.3_(Normal),40.0
2019,data.Participatory_budgeting,data.Experienced,data.4_(A_little_bit),37.9
2019,data.Participatory_budgeting,data.Experienced,data.5_(Very_satisfactory),6.4
2019,data.Community_center,data.Experienced,data.1_(Not_at_all),0.7
2019,data.Community_center,data.Experienced,data.2_(Not_that_much),1.5
2019,data.Community_center,data.Experienced,data.3_(Normal),20.5
2019,data.Community_center,data.Experienced,data.4_(A_little_bit),59.3
2019,data.Community_center,data.Experienced,data.5_(Very_satisfactory),18.0
2019,data.Licensing_service,data.Experienced,data.1_(Not_at_all),1.9
2019,data.Licensing_service,data.Experienced,data.2_(Not_that_much),6.1
2019,data.Licensing_service,data.Experienced,data.3_(Normal),36.7
2019,data.Licensing_service,data.Experienced,data.4_(A_little_bit),38.2
2019,data.Licensing_service,data.Experienced,data.5_(Very_satisfactory),17.0
2019,data.Online_official_documents,data.Experienced,data.1_(Not_at_all),0.6
2019,data.Online_official_documents,data.Experienced,data.2_(Not_that_much),2.5
2019,data.Online_official_documents,data.Experienced,data.3_(Normal),18.1
2019,data.Online_official_documents,data.Experienced,data.4_(A_little_bit),53.8
2019,data.Online_official_documents,data.Experienced,data.5_(Very_satisfactory),25.0
2019,data.Tax_affair_service,data.Experienced,data.1_(Not_at_all),1.8
2019,data.Tax_affair_service,data.Experienced,data.2_(Not_that_much),3.4
2019,data.Tax_affair_service,data.Experienced,data.3_(Normal),26.7
2019,data.Tax_affair_service,data.Experienced,data.4_(A_little_bit),50.9
2019,data.Tax_affair_service,data.Experienced,data.5_(Very_satisfactory),17.2
2019,data.Police_service,data.Experienced,data.1_(Not_at_all),4.6
2019,data.Police_service,data.Experienced,data.2_(Not_that_much),10.0
2019,data.Police_service,data.Experienced,data.3_(Normal),31.5
2019,data.Police_service,data.Experienced,data.4_(A_little_bit),40.0
2019,data.Police_service,data.Experienced,data.5_(Very_satisfactory),13.8
2019,data.Fire_administration_service,data.Experienced,data.1_(Not_at_all),3.5
2019,data.Fire_administration_service,data.Experienced,data.2_(Not_that_much),3.4
2019,data.Fire_administration_service,data.Experienced,data.3_(Normal),26.5
2019,data.Fire_administration_service,data.Experienced,data.4_(A_little_bit),40.6
2019,data.Fire_administration_service,data.Experienced,data.5_(Very_satisfactory),26.0
2019,data.Education_service,data.Experienced,data.1_(Not_at_all),0.8
2019,data.Education_service,data.Experienced,data.2_(Not_that_much),5.0
2019,data.Education_service,data.Experienced,data.3_(Normal),29.0
2019,data.Education_service,data.Experienced,data.4_(A_little_bit),50.7
2019,data.Education_service,data.Experienced,data.5_(Very_satisfactory),14.5
2019,data.Health_service,data.Experienced,data.1_(Not_at_all),0.5
2019,data.Health_service,data.Experienced,data.2_(Not_that_much),2.6
2019,data.Health_service,data.Experienced,data.3_(Normal),24.0
2019,data.Health_service,data.Experienced,data.4_(A_little_bit),52.8
2019,data.Health_service,data.Experienced,data.5_(Very_satisfactory),20.1
