Year,사망원인별,성별,Value
2005,당뇨,남성,24.5
2005,당뇨,여성,24.2
2005,심혈관계 질환,,0.6
2005,심혈관계 질환,남성,0.5
2005,심혈관계 질환,여성,0.7
2005,호흡기 질환,,10.4171866737176
2005,호흡기 질환,남성,12.8252090227124
2005,호흡기 질환,여성,7.97811704834606
2006,암,,134.8
2006,암,남성,171.6
2006,암,여성,97.9
2006,당뇨,,23.8
2006,당뇨,남성,23.8
2006,당뇨,여성,23.8
2006,심혈관계 질환,,0.6
2006,심혈관계 질환,남성,0.4
2006,심혈관계 질환,여성,0.7
2006,호흡기 질환,,9.97342523293511
2006,호흡기 질환,남성,12.5119959934469
2006,호흡기 질환,여성,7.37693736026375
2007,암,,138.1
2007,암,남성,174.3
2007,암,여성,101.8
2007,당뇨,,23.1
2007,당뇨,남성,23.2
2007,당뇨,여성,22.9
2007,심혈관계 질환,,0.5
2007,심혈관계 질환,남성,0.3
2007,심혈관계 질환,여성,0.7
2007,호흡기 질환,,10.4799920969442
2007,호흡기 질환,남성,12.9035558096769
2007,호흡기 질환,여성,8.15012198599537
2008,암,,139.5
2008,암,남성,176.9
2008,암,여성,101.9
2008,당뇨,,20.7
2008,당뇨,남성,20.9
2008,당뇨,여성,20.5
2008,심혈관계 질환,,0.5
2008,심혈관계 질환,남성,0.3
2008,심혈관계 질환,여성,0.6
2008,호흡기 질환,,10.7040324230739
2008,호흡기 질환,남성,13.0317551404098
2008,호흡기 질환,여성,8.25802186177715
2009,암,,140.5
2009,암,남성,176.3
2009,암,여성,104.6
2009,당뇨,,19.6
2009,당뇨,남성,19.9
2009,당뇨,여성,19.4
2009,심혈관계 질환,,0.4
2009,심혈관계 질환,남성,0.2
2009,심혈관계 질환,여성,0.5
2009,호흡기 질환,,10.6096130001431
2009,호흡기 질환,남성,13.144951244254
2009,호흡기 질환,여성,8.03994896136375
2010,암,,144.4
2010,암,남성,181.0
2010,암,여성,107.8
2010,당뇨,,20.7
2010,당뇨,남성,21.0
2010,당뇨,여성,20.5
2010,심혈관계 질환,,0.4
2010,심혈관계 질환,남성,0.3
2010,심혈관계 질환,여성,5.39624228827818
2010,호흡기 질환,,11.0051857659416
2010,호흡기 질환,남성,13.491293858036
2010,호흡기 질환,여성,10.5
2011,암,,142.8
2011,암,남성,178.9
2011,암,여성,106.7
2011,당뇨,,21.5
2011,당뇨,남성,22.1
2011,당뇨,여성,20.9
2011,심혈관계 질환,,0.4
2011,심혈관계 질환,남성,0.2
2011,심혈관계 질환,여성,0.6
2011,호흡기 질환,,11.1969907544223
2011,호흡기 질환,남성,13.7362562220323
2011,호흡기 질환,여성,8.65370429208858
2012,암,,146.5
2012,암,남성,184.5
2012,암,여성,108.5
2012,당뇨,,23.0
2012,당뇨,남성,23.2
2012,당뇨,여성,22.7
2012,심혈관계 질환,,0.5
2012,심혈관계 질환,남성,0.2
2012,심혈관계 질환,여성,0.7
2012,호흡기 질환,,12.242774482061
2012,호흡기 질환,남성,14.6933430338305
2012,호흡기 질환,여성,9.7509380247055
2013,암,,149.0
2013,암,남성,186.2
2013,암,여성,111.8
2013,당뇨,,21.5
2013,당뇨,남성,21.3
2013,당뇨,여성,21.8
2013,심혈관계 질환,,0.3
2013,심혈관계 질환,남성,0.2
2013,심혈관계 질환,여성,0.5
2013,호흡기 질환,,11.5053912386469
2013,호흡기 질환,남성,13.8999235156574
2013,호흡기 질환,여성,9.0475384454545
2014,암,,150.9
2014,암,남성,188.7
2014,암,여성,113.2
2014,당뇨,,20.7
2014,당뇨,남성,20.8
2014,당뇨,여성,20.7
2014,심혈관계 질환,,0.3
2014,심혈관계 질환,남성,0.2
2014,심혈관계 질환,여성,0.5
2014,호흡기 질환,,11.746237382527
2014,호흡기 질환,남성,14.4522443658592
2014,호흡기 질환,여성,9.1023829787234
2015,암,,150.8
2015,암,남성,187.3
2015,암,여성,114.4
2015,당뇨,,20.7
2015,당뇨,남성,20.6
2015,당뇨,여성,20.8
2015,심혈관계 질환,,0.3
2015,심혈관계 질환,남성,0.2
2015,심혈관계 질환,여성,0.4
2015,호흡기 질환,,12.4967082176374
2015,호흡기 질환,남성,15.2488779114546
2015,호흡기 질환,여성,9.80403169201097
2016,암,,153.0
2016,암,남성,188.8
2016,암,여성,117.2
2016,당뇨,,19.2
2016,당뇨,남성,19.2
2016,당뇨,여성,19.2
2016,심혈관계 질환,,0.3
2016,심혈관계 질환,남성,0.2
2016,심혈관계 질환,여성,0.4
2016,호흡기 질환,,12.3986304437784
2016,호흡기 질환,남성,15.0444768739091
2016,호흡기 질환,여성,9.75078414599373
2017,암,,153.9
2017,암,남성,191.1
2017,암,여성,116.9
2017,당뇨,,17.9
2017,당뇨,남성,17.6
2017,당뇨,여성,18.2
2017,심혈관계 질환,,0.4
2017,심혈관계 질환,남성,0.3
2017,심혈관계 질환,여성,0.5
2017,호흡기 질환,,12.6498444884275
2017,호흡기 질환,남성,15.499447684091
2017,호흡기 질환,여성,9.74925156423997
2018,암,,154.3
2018,암,남성,191.0
2018,암,여성,117.7
2018,당뇨,,17.1
2018,당뇨,남성,17.3
2018,당뇨,여성,17.0
2018,심혈관계 질환,,0.3
2018,심혈관계 질환,남성,0.2
2018,심혈관계 질환,여성,0.4
2018,호흡기 질환,,13.3508252976342
2018,호흡기 질환,남성,16.2495455150091
2018,호흡기 질환,여성,10.4518638573744
2019,암,,158.2
2019,암,남성,196.3
2019,암,여성,120.2
2019,당뇨,,15.8
2019,당뇨,남성,16.1
2019,당뇨,여성,15.5
2019,심혈관계 질환,,0.4
2019,심혈관계 질환,남성,0.2
2019,심혈관계 질환,여성,0.6
2019,호흡기 질환,,12.8476467688107
2019,호흡기 질환,남성,16.0493912653113
2019,호흡기 질환,여성,9.64439536167863
2020,암,,160.1
2020,암,남성,198.5
2020,암,여성,121.9
2020,당뇨,,16.5
2020,당뇨,남성,16.9
2020,당뇨,여성,16.1
2020,심혈관계 질환,,0.3
2020,심혈관계 질환,남성,0.2
2020,심혈관계 질환,여성,0.5
2020,호흡기 질환,,13.4423752471016
2020,호흡기 질환,남성,16.5016011568292
2020,호흡기 질환,여성,10.3993680672527
