Year,Time serieses,Type of product,Value
2005,most-favoured-nation status,Textiles,7.14779
2010,most-favoured-nation status,Textiles,6.9818
2011,most-favoured-nation status,Textiles,6.94097
2012,most-favoured-nation status,Textiles,6.91689
2013,most-favoured-nation status,Textiles,6.91172
2014,most-favoured-nation status,Textiles,6.89907
2015,most-favoured-nation status,Textiles,6.94045
2016,most-favoured-nation status,Textiles,6.9851
2017,most-favoured-nation status,Textiles,6.85683
2018,most-favoured-nation status,Textiles,6.98865
2019,most-favoured-nation status,Textiles,6.99941
