Year,Units,Name of international institution,Value
2017,Proportion of members of developing countries in international organizations,IFC,0.54348
2017,Proportion of members of developing countries in international organizations,IMF,0.5291
2017,Proportion of members of developing countries in international organizations,UNGA,0.51813
2017,Proportion of members of developing countries in international organizations,WTO,0.60976
2017,Proportion of members of developing countries in international organizations,ADB,1.4925
2017,Proportion of members of developing countries in international organizations,AFDB,1.25
2017,Proportion of members of developing countries in international organizations,ECOSOC,1.85185
2017,Proportion of members of developing countries in international organizations,FSB,4.16667
2017,Proportion of members of developing countries in international organizations,IABD,2.08333
2017,Proportion of members of developing countries in international organizations,IBRD,0.5291
2017,Proportion of members of developing countries in international organizations,IFC,0.54348
2017,Proportion of members of developing countries in international organizations,IMF,0.5291
2017,Proportion of members of developing countries in international organizations,UNGA,0.51813
2017,Proportion of members of developing countries in international organizations,WTO,0.60976
2018,Proportion of members of developing countries in international organizations,ADB,1.4925
2018,Proportion of members of developing countries in international organizations,AFDB,1.25
2018,Proportion of members of developing countries in international organizations,ECOSOC,1.85185
2018,Proportion of members of developing countries in international organizations,FSB,4.16667
2018,Proportion of members of developing countries in international organizations,IABD,2.08333
2018,Proportion of members of developing countries in international organizations,IBRD,0.5291
2018,Proportion of members of developing countries in international organizations,IFC,0.54348
2018,Proportion of members of developing countries in international organizations,IMF,0.5291
2018,Proportion of members of developing countries in international organizations,UNGA,0.51813
2018,Proportion of members of developing countries in international organizations,WTO,0.60976
2018,Proportion of members of developing countries in international organizations,ADB,1.4925
2018,Proportion of members of developing countries in international organizations,AFDB,1.25
2018,Proportion of members of developing countries in international organizations,ECOSOC,1.85185
2018,Proportion of members of developing countries in international organizations,FSB,4.16667
2018,Proportion of members of developing countries in international organizations,IABD,2.08333
2018,Proportion of members of developing countries in international organizations,IBRD,0.5291
2018,Proportion of members of developing countries in international organizations,IFC,0.54348
2018,Proportion of members of developing countries in international organizations,IMF,0.5291
2018,Proportion of members of developing countries in international organizations,UNGA,0.51813
2018,Proportion of members of developing countries in international organizations,WTO,0.60976
2019,Proportion of members of developing countries in international organizations,ADB,1.4925
2019,Proportion of members of developing countries in international organizations,AFDB,1.25
2019,Proportion of members of developing countries in international organizations,ECOSOC,1.85185
2019,Proportion of members of developing countries in international organizations,FSB,4.16667
2019,Proportion of members of developing countries in international organizations,IABD,2.08333
2019,Proportion of members of developing countries in international organizations,IBRD,0.5291
2019,Proportion of members of developing countries in international organizations,IFC,0.5435
2019,Proportion of members of developing countries in international organizations,IMF,0.5291
2019,Proportion of members of developing countries in international organizations,UNGA,0.51813
2019,Proportion of members of developing countries in international organizations,WTO,0.60976
2019,Proportion of members of developing countries in international organizations,ADB,1.4925
2019,Proportion of members of developing countries in international organizations,AFDB,1.25
2019,Proportion of members of developing countries in international organizations,ECOSOC,1.85185
2019,Proportion of members of developing countries in international organizations,FSB,4.16667
2019,Proportion of members of developing countries in international organizations,IABD,2.08333
2019,Proportion of members of developing countries in international organizations,IBRD,0.5291
2019,Proportion of members of developing countries in international organizations,IFC,0.5435
2019,Proportion of members of developing countries in international organizations,IMF,0.5291
2019,Proportion of members of developing countries in international organizations,UNGA,0.51813
2019,Proportion of members of developing countries in international organizations,WTO,0.60976
2020,Proportion of members of developing countries in international organizations,ECOSOC,1.85185
2020,Proportion of members of developing countries in international organizations,FSB,4.16667
2020,Proportion of members of developing countries in international organizations,IBRD,0.5291
2020,Proportion of members of developing countries in international organizations,IFC,0.54348
2020,Proportion of members of developing countries in international organizations,IMF,0.5291
2020,Proportion of members of developing countries in international organizations,UNGA,0.51813
2020,Proportion of members of developing countries in international organizations,WTO,0.60976
2020,Proportion of members of developing countries in international organizations,ECOSOC,1.85185
2020,Proportion of members of developing countries in international organizations,FSB,4.16667
2020,Proportion of members of developing countries in international organizations,IBRD,0.5291
2020,Proportion of members of developing countries in international organizations,IFC,0.54348
2020,Proportion of members of developing countries in international organizations,IMF,0.5291
2020,Proportion of members of developing countries in international organizations,UNGA,0.51813
2020,Proportion of members of developing countries in international organizations,WTO,0.60976
2021,Proportion of members of developing countries in international organizations,ECOSOC,1.85185185185185
2021,Proportion of members of developing countries in international organizations,FSB,4.16666666666667
2021,Proportion of members of developing countries in international organizations,IBRD,0.5291
2021,Proportion of members of developing countries in international organizations,IFC,0.54054
2021,Proportion of members of developing countries in international organizations,IMF,0.52632
2021,Proportion of members of developing countries in international organizations,UNGA,0.51813
2021,Proportion of members of developing countries in international organizations,WTO,0.60976
2021,Proportion of members of developing countries in international organizations,ECOSOC,1.85185185185185
2021,Proportion of members of developing countries in international organizations,FSB,4.16666666666667
2021,Proportion of members of developing countries in international organizations,IBRD,0.5291
2021,Proportion of members of developing countries in international organizations,IFC,0.54054
2021,Proportion of members of developing countries in international organizations,IMF,0.52632
2021,Proportion of members of developing countries in international organizations,UNGA,0.51813
2021,Proportion of members of developing countries in international organizations,WTO,0.60976
2000,Proportion of voting rights of developing countries in international organizations,ADB,4.443
2000,Proportion of voting rights of developing countries in international organizations,AFDB,0.487
2000,Proportion of voting rights of developing countries in international organizations,IABD,0.0
2000,Proportion of voting rights of developing countries in international organizations,IBRD,0.9982
2000,Proportion of voting rights of developing countries in international organizations,IFC,0.6745
2000,Proportion of voting rights of developing countries in international organizations,IMF,0.7748
2000,Proportion of voting rights of developing countries in international organizations,UNGA,0.5291
2000,Proportion of voting rights of developing countries in international organizations,WTO,0.7143
2000,Proportion of voting rights of developing countries in international organizations,ADB,4.443
2000,Proportion of voting rights of developing countries in international organizations,AFDB,0.487
2000,Proportion of voting rights of developing countries in international organizations,IABD,0.0
2000,Proportion of voting rights of developing countries in international organizations,IBRD,0.9982
2000,Proportion of voting rights of developing countries in international organizations,IFC,0.6745
2000,Proportion of voting rights of developing countries in international organizations,IMF,0.7748
2000,Proportion of voting rights of developing countries in international organizations,UNGA,0.5291
2000,Proportion of voting rights of developing countries in international organizations,WTO,0.7143
2005,Proportion of voting rights of developing countries in international organizations,ADB,4.375
2005,Proportion of voting rights of developing countries in international organizations,AFDB,0.466
2005,Proportion of voting rights of developing countries in international organizations,ECOSOC,1.8519
2005,Proportion of voting rights of developing countries in international organizations,IABD,0.004
2005,Proportion of voting rights of developing countries in international organizations,IBRD,0.9926
2005,Proportion of voting rights of developing countries in international organizations,IFC,0.6725
2005,Proportion of voting rights of developing countries in international organizations,IMF,0.7625
2005,Proportion of voting rights of developing countries in international organizations,UNGA,0.5236
2005,Proportion of voting rights of developing countries in international organizations,WTO,0.6711
2005,Proportion of voting rights of developing countries in international organizations,ADB,4.375
2005,Proportion of voting rights of developing countries in international organizations,AFDB,0.466
2005,Proportion of voting rights of developing countries in international organizations,ECOSOC,1.8519
2005,Proportion of voting rights of developing countries in international organizations,IABD,0.004
2005,Proportion of voting rights of developing countries in international organizations,IBRD,0.9926
2005,Proportion of voting rights of developing countries in international organizations,IFC,0.6725
2005,Proportion of voting rights of developing countries in international organizations,IMF,0.7625
2005,Proportion of voting rights of developing countries in international organizations,UNGA,0.5236
2005,Proportion of voting rights of developing countries in international organizations,WTO,0.6711
2010,Proportion of voting rights of developing countries in international organizations,ADB,4.875
2010,Proportion of voting rights of developing countries in international organizations,AFDB,0.458
2010,Proportion of voting rights of developing countries in international organizations,ECOSOC,1.8519
2010,Proportion of voting rights of developing countries in international organizations,FSB,3.8462
2010,Proportion of voting rights of developing countries in international organizations,IABD,0.004
2010,Proportion of voting rights of developing countries in international organizations,IBRD,0.991
2010,Proportion of voting rights of developing countries in international organizations,IFC,0.6707
2010,Proportion of voting rights of developing countries in international organizations,IMF,1.3331
2010,Proportion of voting rights of developing countries in international organizations,UNGA,0.5208
2010,Proportion of voting rights of developing countries in international organizations,WTO,0.6536
2010,Proportion of voting rights of developing countries in international organizations,ADB,4.875
2010,Proportion of voting rights of developing countries in international organizations,AFDB,0.458
2010,Proportion of voting rights of developing countries in international organizations,ECOSOC,1.8519
2010,Proportion of voting rights of developing countries in international organizations,FSB,3.8462
2010,Proportion of voting rights of developing countries in international organizations,IABD,0.004
2010,Proportion of voting rights of developing countries in international organizations,IBRD,0.991
2010,Proportion of voting rights of developing countries in international organizations,IFC,0.6707
2010,Proportion of voting rights of developing countries in international organizations,IMF,1.3331
2010,Proportion of voting rights of developing countries in international organizations,UNGA,0.5208
2010,Proportion of voting rights of developing countries in international organizations,WTO,0.6536
2014,Proportion of voting rights of developing countries in international organizations,AFDB,0.455
2014,Proportion of voting rights of developing countries in international organizations,AFDB,0.455
2015,Proportion of voting rights of developing countries in international organizations,ADB,4.333
2015,Proportion of voting rights of developing countries in international organizations,AFDB,0.47
2015,Proportion of voting rights of developing countries in international organizations,FSB,3.5088
2015,Proportion of voting rights of developing countries in international organizations,IABD,0.004
2015,Proportion of voting rights of developing countries in international organizations,IBRD,1.6493
2015,Proportion of voting rights of developing countries in international organizations,IFC,1.0673
2015,Proportion of voting rights of developing countries in international organizations,IMF,1.3649
2015,Proportion of voting rights of developing countries in international organizations,UNGA,0.5181
2015,Proportion of voting rights of developing countries in international organizations,WTO,0.625
2015,Proportion of voting rights of developing countries in international organizations,ADB,4.333
2015,Proportion of voting rights of developing countries in international organizations,AFDB,0.47
2015,Proportion of voting rights of developing countries in international organizations,FSB,3.5088
2015,Proportion of voting rights of developing countries in international organizations,IABD,0.004
2015,Proportion of voting rights of developing countries in international organizations,IBRD,1.6493
2015,Proportion of voting rights of developing countries in international organizations,IFC,1.0673
2015,Proportion of voting rights of developing countries in international organizations,IMF,1.3649
2015,Proportion of voting rights of developing countries in international organizations,UNGA,0.5181
2015,Proportion of voting rights of developing countries in international organizations,WTO,0.625
2016,Proportion of voting rights of developing countries in international organizations,ADB,4.329
2016,Proportion of voting rights of developing countries in international organizations,AFDB,0.4882
2016,Proportion of voting rights of developing countries in international organizations,ECOSOC,1.8519
2016,Proportion of voting rights of developing countries in international organizations,FSB,3.5088
2016,Proportion of voting rights of developing countries in international organizations,IABD,0.004
2016,Proportion of voting rights of developing countries in international organizations,IBRD,1.65
2016,Proportion of voting rights of developing countries in international organizations,IFC,1.0673
2016,Proportion of voting rights of developing countries in international organizations,IMF,1.75
2016,Proportion of voting rights of developing countries in international organizations,UNGA,0.5181
2016,Proportion of voting rights of developing countries in international organizations,WTO,0.6173
2016,Proportion of voting rights of developing countries in international organizations,ADB,4.329
2016,Proportion of voting rights of developing countries in international organizations,AFDB,0.4882
2016,Proportion of voting rights of developing countries in international organizations,ECOSOC,1.8519
2016,Proportion of voting rights of developing countries in international organizations,FSB,3.5088
2016,Proportion of voting rights of developing countries in international organizations,IABD,0.004
2016,Proportion of voting rights of developing countries in international organizations,IBRD,1.65
2016,Proportion of voting rights of developing countries in international organizations,IFC,1.0673
2016,Proportion of voting rights of developing countries in international organizations,IMF,1.75
2016,Proportion of voting rights of developing countries in international organizations,UNGA,0.5181
2016,Proportion of voting rights of developing countries in international organizations,WTO,0.6173
2017,Proportion of voting rights of developing countries in international organizations,ADB,4.329
2017,Proportion of voting rights of developing countries in international organizations,AFDB,0.4882
2017,Proportion of voting rights of developing countries in international organizations,ECOSOC,1.8519
2017,Proportion of voting rights of developing countries in international organizations,FSB,3.5088
2017,Proportion of voting rights of developing countries in international organizations,IABD,0.004
2017,Proportion of voting rights of developing countries in international organizations,IBRD,1.6191
2017,Proportion of voting rights of developing countries in international organizations,IFC,1.0673
2017,Proportion of voting rights of developing countries in international organizations,IMF,1.7352
2017,Proportion of voting rights of developing countries in international organizations,UNGA,0.5181
2017,Proportion of voting rights of developing countries in international organizations,WTO,0.6098
2017,Proportion of voting rights of developing countries in international organizations,ADB,4.329
2017,Proportion of voting rights of developing countries in international organizations,AFDB,0.4882
2017,Proportion of voting rights of developing countries in international organizations,ECOSOC,1.8519
2017,Proportion of voting rights of developing countries in international organizations,FSB,3.5088
2017,Proportion of voting rights of developing countries in international organizations,IABD,0.004
2017,Proportion of voting rights of developing countries in international organizations,IBRD,1.6191
2017,Proportion of voting rights of developing countries in international organizations,IFC,1.0673
2017,Proportion of voting rights of developing countries in international organizations,IMF,1.7352
2017,Proportion of voting rights of developing countries in international organizations,UNGA,0.5181
2017,Proportion of voting rights of developing countries in international organizations,WTO,0.6098
2018,Proportion of voting rights of developing countries in international organizations,ADB,4.3195
2018,Proportion of voting rights of developing countries in international organizations,AFDB,0.4922
2018,Proportion of voting rights of developing countries in international organizations,ECOSOC,1.8519
2018,Proportion of voting rights of developing countries in international organizations,FSB,3.5088
2018,Proportion of voting rights of developing countries in international organizations,IABD,0.004
2018,Proportion of voting rights of developing countries in international organizations,IBRD,1.5856
2018,Proportion of voting rights of developing countries in international organizations,IFC,1.0661
2018,Proportion of voting rights of developing countries in international organizations,IMF,1.7349
2018,Proportion of voting rights of developing countries in international organizations,UNGA,0.5181
2018,Proportion of voting rights of developing countries in international organizations,WTO,0.6098
2018,Proportion of voting rights of developing countries in international organizations,ADB,4.3195
2018,Proportion of voting rights of developing countries in international organizations,AFDB,0.4922
2018,Proportion of voting rights of developing countries in international organizations,ECOSOC,1.8519
2018,Proportion of voting rights of developing countries in international organizations,FSB,3.5088
2018,Proportion of voting rights of developing countries in international organizations,IABD,0.004
2018,Proportion of voting rights of developing countries in international organizations,IBRD,1.5856
2018,Proportion of voting rights of developing countries in international organizations,IFC,1.0661
2018,Proportion of voting rights of developing countries in international organizations,IMF,1.7349
2018,Proportion of voting rights of developing countries in international organizations,UNGA,0.5181
2018,Proportion of voting rights of developing countries in international organizations,WTO,0.6098
2019,Proportion of voting rights of developing countries in international organizations,ADB,4.32782
2019,Proportion of voting rights of developing countries in international organizations,AFDB,0.4916
2019,Proportion of voting rights of developing countries in international organizations,ECOSOC,1.8519
2019,Proportion of voting rights of developing countries in international organizations,FSB,3.5088
2019,Proportion of voting rights of developing countries in international organizations,IABD,0.004
2019,Proportion of voting rights of developing countries in international organizations,IBRD,1.5565
2019,Proportion of voting rights of developing countries in international organizations,IFC,1.0589
2019,Proportion of voting rights of developing countries in international organizations,IMF,1.73487
2019,Proportion of voting rights of developing countries in international organizations,UNGA,0.5181
2019,Proportion of voting rights of developing countries in international organizations,WTO,0.6098
2019,Proportion of voting rights of developing countries in international organizations,ADB,4.32782
2019,Proportion of voting rights of developing countries in international organizations,AFDB,0.4916
2019,Proportion of voting rights of developing countries in international organizations,ECOSOC,1.8519
2019,Proportion of voting rights of developing countries in international organizations,FSB,3.5088
2019,Proportion of voting rights of developing countries in international organizations,IABD,0.004
2019,Proportion of voting rights of developing countries in international organizations,IBRD,1.5565
2019,Proportion of voting rights of developing countries in international organizations,IFC,1.0589
2019,Proportion of voting rights of developing countries in international organizations,IMF,1.73487
2019,Proportion of voting rights of developing countries in international organizations,UNGA,0.5181
2019,Proportion of voting rights of developing countries in international organizations,WTO,0.6098
2020,Proportion of voting rights of developing countries in international organizations,ECOSOC,1.85185
2020,Proportion of voting rights of developing countries in international organizations,FSB,3.50877
2020,Proportion of voting rights of developing countries in international organizations,IBRD,1.57527
2020,Proportion of voting rights of developing countries in international organizations,IFC,1.0662157
2020,Proportion of voting rights of developing countries in international organizations,IMF,1.73396
2020,Proportion of voting rights of developing countries in international organizations,UNGA,0.5181
2020,Proportion of voting rights of developing countries in international organizations,WTO,0.60976
2020,Proportion of voting rights of developing countries in international organizations,ECOSOC,1.85185
2020,Proportion of voting rights of developing countries in international organizations,FSB,3.50877
2020,Proportion of voting rights of developing countries in international organizations,IBRD,1.57527
2020,Proportion of voting rights of developing countries in international organizations,IFC,1.0662157
2020,Proportion of voting rights of developing countries in international organizations,IMF,1.73396
2020,Proportion of voting rights of developing countries in international organizations,UNGA,0.5181
2020,Proportion of voting rights of developing countries in international organizations,WTO,0.60976
2021,Proportion of voting rights of developing countries in international organizations,ECOSOC,1.85185
2021,Proportion of voting rights of developing countries in international organizations,FSB,3.44827586206897
2021,Proportion of voting rights of developing countries in international organizations,IBRD,1.63745303045091
2021,Proportion of voting rights of developing countries in international organizations,IFC,1.11994697577585
2021,Proportion of voting rights of developing countries in international organizations,IMF,1.73188913338082
2021,Proportion of voting rights of developing countries in international organizations,UNGA,0.51813
2021,Proportion of voting rights of developing countries in international organizations,WTO,0.60976
2021,Proportion of voting rights of developing countries in international organizations,ECOSOC,1.85185
2021,Proportion of voting rights of developing countries in international organizations,FSB,3.44827586206897
2021,Proportion of voting rights of developing countries in international organizations,IBRD,1.63745303045091
2021,Proportion of voting rights of developing countries in international organizations,IFC,1.11994697577585
2021,Proportion of voting rights of developing countries in international organizations,IMF,1.73188913338082
2021,Proportion of voting rights of developing countries in international organizations,UNGA,0.51813
2021,Proportion of voting rights of developing countries in international organizations,WTO,0.60976
