Year,Public Services,Experiences,Satisfaction,Value
2017,Public hearing,Experienced,1 (Not at all),7.4
2017,Public hearing,Experienced,2 (Not that much),25.4
2017,Public hearing,Experienced,3 (Normal),41.7
2017,Public hearing,Experienced,4 (A little bit),24.4
2017,Public hearing,Experienced,5 (Very satisfactory),1.1
2017,Public hearing,No experienced,,98.5
2017,Participatory budgeting,Experienced,,1.4
2017,Participatory budgeting,Experienced,1 (Not at all),5.2
2017,Participatory budgeting,Experienced,2 (Not that much),18.2
2017,Participatory budgeting,Experienced,3 (Normal),35.8
2017,Participatory budgeting,Experienced,4 (A little bit),34.0
2017,Participatory budgeting,Experienced,5 (Very satisfactory),6.8
2017,Participatory budgeting,No experienced,,98.6
2017,Community center,Experienced,,46.5
2017,Community center,Experienced,1 (Not at all),0.6
2017,Community center,Experienced,2 (Not that much),2.0
2017,Community center,Experienced,3 (Normal),15.0
2017,Community center,Experienced,4 (A little bit),65.1
2017,Community center,Experienced,5 (Very satisfactory),17.4
2017,Community center,No experienced,,53.5
2017,Licensing service,Experienced,,6.6
2017,Licensing service,Experienced,1 (Not at all),3.8
2017,Licensing service,Experienced,2 (Not that much),7.4
2017,Licensing service,Experienced,3 (Normal),28.9
2017,Licensing service,Experienced,4 (A little bit),52.8
2017,Licensing service,Experienced,5 (Very satisfactory),7.1
2017,Licensing service,No experienced,,93.4
2017,Online official documents,Experienced,,25.8
2017,Online official documents,Experienced,1 (Not at all),1.3
2017,Online official documents,Experienced,2 (Not that much),2.7
2017,Online official documents,Experienced,3 (Normal),18.7
2017,Online official documents,Experienced,4 (A little bit),57.7
2017,Online official documents,Experienced,5 (Very satisfactory),19.6
2017,Online official documents,No experienced,,74.2
2017,Tax affair service,Experienced,,18.6
2017,Tax affair service,Experienced,1 (Not at all),1.9
2017,Tax affair service,Experienced,2 (Not that much),3.7
2017,Tax affair service,Experienced,3 (Normal),23.0
2017,Tax affair service,Experienced,4 (A little bit),60.0
2017,Tax affair service,Experienced,5 (Very satisfactory),11.4
2017,Tax affair service,No experienced,,81.4
2017,Police service,Experienced,,7.3
2017,Police service,Experienced,1 (Not at all),6.0
2017,Police service,Experienced,2 (Not that much),10.6
2017,Police service,Experienced,3 (Normal),24.6
2017,Police service,Experienced,4 (A little bit),48.4
2017,Police service,Experienced,5 (Very satisfactory),10.5
2017,Police service,No experienced,,92.7
2017,Fire administration service,Experienced,,3.3
2017,Fire administration service,Experienced,1 (Not at all),7.6
2017,Fire administration service,Experienced,2 (Not that much),5.0
2017,Fire administration service,Experienced,3 (Normal),22.0
2017,Fire administration service,Experienced,4 (A little bit),37.0
2017,Fire administration service,Experienced,5 (Very satisfactory),28.4
2017,Fire administration service,No experienced,,96.7
2018,Public hearing,Experienced,,1.1
2018,Public hearing,Experienced,1 (Not at all),0.5
2018,Public hearing,Experienced,2 (Not that much),21.0
2018,Public hearing,Experienced,3 (Normal),36.3
2018,Public hearing,Experienced,4 (A little bit),36.2
2018,Public hearing,Experienced,5 (Very satisfactory),6.0
2018,Public hearing,No experienced,,98.9
2018,Participatory budgeting,Experienced,,1.4
2018,Participatory budgeting,Experienced,1 (Not at all),4.9
2018,Participatory budgeting,Experienced,2 (Not that much),10.5
2018,Participatory budgeting,Experienced,3 (Normal),33.6
2018,Participatory budgeting,Experienced,4 (A little bit),45.7
2018,Participatory budgeting,Experienced,5 (Very satisfactory),5.2
2018,Participatory budgeting,No experienced,,98.6
2018,Community center,Experienced,,48.5
2018,Community center,Experienced,1 (Not at all),0.3
2018,Community center,Experienced,2 (Not that much),1.2
2018,Community center,Experienced,3 (Normal),19.4
2018,Community center,Experienced,4 (A little bit),63.7
2018,Community center,Experienced,5 (Very satisfactory),15.4
2018,Community center,No experienced,,51.5
2018,Licensing service,Experienced,,6.8
2018,Licensing service,Experienced,1 (Not at all),0.8
2018,Licensing service,Experienced,2 (Not that much),3.5
2018,Licensing service,Experienced,3 (Normal),31.0
2018,Licensing service,Experienced,4 (A little bit),56.5
2018,Licensing service,Experienced,5 (Very satisfactory),8.2
2018,Licensing service,No experienced,,93.2
2018,Online official documents,Experienced,,26.5
2018,Online official documents,Experienced,1 (Not at all),0.5
2018,Online official documents,Experienced,2 (Not that much),1.7
2018,Online official documents,Experienced,3 (Normal),15.6
2018,Online official documents,Experienced,4 (A little bit),61.0
2018,Online official documents,Experienced,5 (Very satisfactory),21.2
2018,Online official documents,No experienced,,73.5
2018,Tax affair service,Experienced,,20.0
2018,Tax affair service,Experienced,1 (Not at all),0.8
2018,Tax affair service,Experienced,2 (Not that much),2.9
2018,Tax affair service,Experienced,3 (Normal),27.5
2018,Tax affair service,Experienced,4 (A little bit),59.9
2018,Tax affair service,Experienced,5 (Very satisfactory),9.0
2018,Tax affair service,No experienced,,80.0
2018,Police service,Experienced,,6.1
2018,Police service,Experienced,1 (Not at all),5.5
2018,Police service,Experienced,2 (Not that much),9.9
2018,Police service,Experienced,3 (Normal),28.6
2018,Police service,Experienced,4 (A little bit),47.3
2018,Police service,Experienced,5 (Very satisfactory),8.6
2018,Police service,No experienced,,93.9
2018,Fire administration service,Experienced,,3.6
2018,Fire administration service,Experienced,1 (Not at all),0.5
2018,Fire administration service,Experienced,2 (Not that much),2.2
2018,Fire administration service,Experienced,3 (Normal),12.5
2018,Fire administration service,Experienced,4 (A little bit),59.9
2018,Fire administration service,Experienced,5 (Very satisfactory),25.0
2018,Fire administration service,No experienced,,96.4
2018,Education service,Experienced,,9.6
2018,Education service,Experienced,1 (Not at all),0.6
2018,Education service,Experienced,2 (Not that much),4.1
2018,Education service,Experienced,3 (Normal),31.8
2018,Education service,Experienced,4 (A little bit),55.8
2018,Education service,Experienced,5 (Very satisfactory),7.6
2018,Education service,No experienced,,90.4
2018,Health service,Experienced,,28.7
2018,Health service,Experienced,1 (Not at all),0.2
2018,Health service,Experienced,2 (Not that much),1.1
2018,Health service,Experienced,3 (Normal),18.6
2018,Health service,Experienced,4 (A little bit),65.3
2018,Health service,Experienced,5 (Very satisfactory),14.8
2018,Health service,No experienced,,71.3
2019,Public hearing,Experienced,,1.7
2019,Public hearing,Experienced,1 (Not at all),5.1
2019,Public hearing,Experienced,2 (Not that much),20.5
2019,Public hearing,Experienced,3 (Normal),41.4
2019,Public hearing,Experienced,4 (A little bit),32.3
2019,Public hearing,Experienced,5 (Very satisfactory),0.7
2019,Public hearing,No experienced,,98.3
2019,Participatory budgeting,Experienced,,2.3
2019,Participatory budgeting,Experienced,1 (Not at all),2.6
2019,Participatory budgeting,Experienced,2 (Not that much),13.1
2019,Participatory budgeting,Experienced,3 (Normal),40.0
2019,Participatory budgeting,Experienced,4 (A little bit),37.9
2019,Participatory budgeting,Experienced,5 (Very satisfactory),6.4
2019,Participatory budgeting,No experienced,,97.7
2019,Community center,Experienced,,45.0
2019,Community center,Experienced,1 (Not at all),0.7
2019,Community center,Experienced,2 (Not that much),1.5
2019,Community center,Experienced,3 (Normal),20.5
2019,Community center,Experienced,4 (A little bit),59.3
2019,Community center,Experienced,5 (Very satisfactory),18.0
2019,Community center,No experienced,,55.0
2019,Licensing service,Experienced,,6.3
2019,Licensing service,Experienced,1 (Not at all),1.9
2019,Licensing service,Experienced,2 (Not that much),6.1
2019,Licensing service,Experienced,3 (Normal),36.7
2019,Licensing service,Experienced,4 (A little bit),38.2
2019,Licensing service,Experienced,5 (Very satisfactory),17.0
2019,Licensing service,No experienced,,93.7
2019,Online official documents,Experienced,,28.9
2019,Online official documents,Experienced,1 (Not at all),0.6
2019,Online official documents,Experienced,2 (Not that much),2.5
2019,Online official documents,Experienced,3 (Normal),18.1
2019,Online official documents,Experienced,4 (A little bit),53.8
2019,Online official documents,Experienced,5 (Very satisfactory),25.0
2019,Online official documents,No experienced,,71.1
2019,Tax affair service,Experienced,,17.0
2019,Tax affair service,Experienced,1 (Not at all),1.8
2019,Tax affair service,Experienced,2 (Not that much),3.4
2019,Tax affair service,Experienced,3 (Normal),26.7
2019,Tax affair service,Experienced,4 (A little bit),50.9
2019,Tax affair service,Experienced,5 (Very satisfactory),17.2
2019,Tax affair service,No experienced,,83.0
2019,Police service,Experienced,,6.5
2019,Police service,Experienced,1 (Not at all),4.6
2019,Police service,Experienced,2 (Not that much),10.0
2019,Police service,Experienced,3 (Normal),31.5
2019,Police service,Experienced,4 (A little bit),40.0
2019,Police service,Experienced,5 (Very satisfactory),13.8
2019,Police service,No experienced,,93.5
2019,Fire administration service,Experienced,,3.4
2019,Fire administration service,Experienced,1 (Not at all),3.5
2019,Fire administration service,Experienced,2 (Not that much),3.4
2019,Fire administration service,Experienced,3 (Normal),26.5
2019,Fire administration service,Experienced,4 (A little bit),40.6
2019,Fire administration service,Experienced,5 (Very satisfactory),26.0
2019,Fire administration service,No experienced,,96.6
2019,Education service,Experienced,,11.6
2019,Education service,Experienced,1 (Not at all),0.8
2019,Education service,Experienced,2 (Not that much),5.0
2019,Education service,Experienced,3 (Normal),29.0
2019,Education service,Experienced,4 (A little bit),50.7
2019,Education service,Experienced,5 (Very satisfactory),14.5
2019,Education service,No experienced,,88.4
2019,Health service,Experienced,,35.3
2019,Health service,Experienced,1 (Not at all),0.5
2019,Health service,Experienced,2 (Not that much),2.6
2019,Health service,Experienced,3 (Normal),24.0
2019,Health service,Experienced,4 (A little bit),52.8
2019,Health service,Experienced,5 (Very satisfactory),20.1
2019,Health service,No experienced,,64.7
