Year,Category,Name of international institution,Value
2018,data.Proportion_of_members_of_developing_countries(%),UNGA,0.51813
2018,data.Proportion_of_members_of_developing_countries(%),WTO,0.60976
2019,data.Proportion_of_members_of_developing_countries(%),ECOSOC,1.852
2019,data.Proportion_of_members_of_developing_countries(%),FSB,4.167
2019,data.Proportion_of_members_of_developing_countries(%),IBRD,0.529
2019,data.Proportion_of_members_of_developing_countries(%),IFC,0.543
2019,data.Proportion_of_members_of_developing_countries(%),IMF,0.529
2019,data.Proportion_of_members_of_developing_countries(%),UNGA,0.518
2019,data.Proportion_of_members_of_developing_countries(%),WTO,0.61
2000,data.Proportion_of_voting_right_of_developing_countries(%),ADB,4.443
2000,data.Proportion_of_voting_right_of_developing_countries(%),AFDB,0.487
2000,data.Proportion_of_voting_right_of_developing_countries(%),IABD,0.0
2000,data.Proportion_of_voting_right_of_developing_countries(%),IBRD,0.99824
2000,data.Proportion_of_voting_right_of_developing_countries(%),IFC,0.67454
2000,data.Proportion_of_voting_right_of_developing_countries(%),IMF,0.77477
2000,data.Proportion_of_voting_right_of_developing_countries(%),UNGA,0.5291
2000,data.Proportion_of_voting_right_of_developing_countries(%),WTO,0.71429
2005,data.Proportion_of_voting_right_of_developing_countries(%),ADB,4.375
2005,data.Proportion_of_voting_right_of_developing_countries(%),AFDB,0.466
2005,data.Proportion_of_voting_right_of_developing_countries(%),ECOSOC,1.85185
2005,data.Proportion_of_voting_right_of_developing_countries(%),IABD,0.004
2005,data.Proportion_of_voting_right_of_developing_countries(%),IBRD,0.99261
2005,data.Proportion_of_voting_right_of_developing_countries(%),IFC,0.67248
2005,data.Proportion_of_voting_right_of_developing_countries(%),IMF,0.76245
2005,data.Proportion_of_voting_right_of_developing_countries(%),UNGA,0.52356
2005,data.Proportion_of_voting_right_of_developing_countries(%),WTO,0.67114
2010,data.Proportion_of_voting_right_of_developing_countries(%),ADB,4.875
2010,data.Proportion_of_voting_right_of_developing_countries(%),AFDB,0.458
2010,data.Proportion_of_voting_right_of_developing_countries(%),ECOSOC,1.85185
2010,data.Proportion_of_voting_right_of_developing_countries(%),FSB,3.84615
2010,data.Proportion_of_voting_right_of_developing_countries(%),IABD,0.004
2010,data.Proportion_of_voting_right_of_developing_countries(%),IBRD,0.99101
2010,data.Proportion_of_voting_right_of_developing_countries(%),IFC,0.67067
2010,data.Proportion_of_voting_right_of_developing_countries(%),IMF,1.3331
2010,data.Proportion_of_voting_right_of_developing_countries(%),UNGA,0.52083
2010,data.Proportion_of_voting_right_of_developing_countries(%),WTO,0.65359
2014,data.Proportion_of_voting_right_of_developing_countries(%),AFDB,0.455
2015,data.Proportion_of_voting_right_of_developing_countries(%),ADB,4.333
2015,data.Proportion_of_voting_right_of_developing_countries(%),AFDB,0.47
2015,data.Proportion_of_voting_right_of_developing_countries(%),FSB,3.50877
2015,data.Proportion_of_voting_right_of_developing_countries(%),IABD,0.004
2015,data.Proportion_of_voting_right_of_developing_countries(%),IBRD,1.64929
2015,data.Proportion_of_voting_right_of_developing_countries(%),IFC,1.06731
2015,data.Proportion_of_voting_right_of_developing_countries(%),IMF,1.36485
2015,data.Proportion_of_voting_right_of_developing_countries(%),UNGA,0.51813
2015,data.Proportion_of_voting_right_of_developing_countries(%),WTO,0.625
2016,data.Proportion_of_voting_right_of_developing_countries(%),ADB,4.329
2016,data.Proportion_of_voting_right_of_developing_countries(%),AFDB,0.48823
2016,data.Proportion_of_voting_right_of_developing_countries(%),ECOSOC,1.85185
2016,data.Proportion_of_voting_right_of_developing_countries(%),FSB,3.50877
2016,data.Proportion_of_voting_right_of_developing_countries(%),IABD,0.004
2016,data.Proportion_of_voting_right_of_developing_countries(%),IBRD,1.65
2016,data.Proportion_of_voting_right_of_developing_countries(%),IFC,1.06731
2016,data.Proportion_of_voting_right_of_developing_countries(%),IMF,1.75
2016,data.Proportion_of_voting_right_of_developing_countries(%),UNGA,0.51813
2016,data.Proportion_of_voting_right_of_developing_countries(%),WTO,0.61728
2017,data.Proportion_of_voting_right_of_developing_countries(%),ADB,4.329
2017,data.Proportion_of_voting_right_of_developing_countries(%),AFDB,0.48823
2017,data.Proportion_of_voting_right_of_developing_countries(%),ECOSOC,1.85185
2017,data.Proportion_of_voting_right_of_developing_countries(%),FSB,3.50877
2017,data.Proportion_of_voting_right_of_developing_countries(%),IABD,0.004
2017,data.Proportion_of_voting_right_of_developing_countries(%),IBRD,1.61914
2017,data.Proportion_of_voting_right_of_developing_countries(%),IFC,1.06731
2017,data.Proportion_of_voting_right_of_developing_countries(%),IMF,1.73522
2017,data.Proportion_of_voting_right_of_developing_countries(%),UNGA,0.51813
2017,data.Proportion_of_voting_right_of_developing_countries(%),WTO,0.60976
2018,data.Proportion_of_voting_right_of_developing_countries(%),ECOSOC,1.85185
2018,data.Proportion_of_voting_right_of_developing_countries(%),FSB,3.50877
2018,data.Proportion_of_voting_right_of_developing_countries(%),IBRD,1.58562
2018,data.Proportion_of_voting_right_of_developing_countries(%),IFC,1.06614
2018,data.Proportion_of_voting_right_of_developing_countries(%),IMF,1.73487
2018,data.Proportion_of_voting_right_of_developing_countries(%),UNGA,0.51813
2018,data.Proportion_of_voting_right_of_developing_countries(%),WTO,0.60976
2019,data.Proportion_of_voting_right_of_developing_countries(%),ECOSOC,1.85185
2019,data.Proportion_of_voting_right_of_developing_countries(%),FSB,3.50877
2019,data.Proportion_of_voting_right_of_developing_countries(%),IBRD,1.55654
2019,data.Proportion_of_voting_right_of_developing_countries(%),IFC,1.05891
2019,data.Proportion_of_voting_right_of_developing_countries(%),IMF,1.73442
2019,data.Proportion_of_voting_right_of_developing_countries(%),UNGA,0.51813
2019,data.Proportion_of_voting_right_of_developing_countries(%),WTO,0.60976
